gene_id,gene_name
ENSG00000160678,S100A1
ENSG00000018625,ATP1A2
ENSG00000170634,ACYP2
ENSG00000145912,NHP2
ENSG00000172348,RCAN2
ENSG00000108309,RUNDC3A
ENSG00000104852,SNRNP70
ENSG00000242259,C22orf39
ENSG00000211592,IGKC
ENSG00000244734,HBB
ENSG00000211895,IGHA1
ENSG00000211677,IGLC2
ENSG00000163191,S100A11
ENSG00000143499,SMYD2
ENSG00000034510,TMSB10
ENSG00000187094,CCK
ENSG00000163630,SYNPR
ENSG00000152583,SPARCL1
ENSG00000145349,CAMK2D
ENSG00000131711,MAP1B
ENSG00000171617,ENC1
ENSG00000019582,CD74
ENSG00000206503,HLA-A
ENSG00000058091,CDK14
ENSG00000196937,FAM3C
ENSG00000104722,NEFM
ENSG00000170323,FABP4
ENSG00000164919,COX6C
ENSG00000142089,IFITM3
ENSG00000255823,MTRNR2L8
ENSG00000173432,SAA1
ENSG00000124935,SCGB1D2
ENSG00000110484,SCGB2A2
ENSG00000111341,MGP
ENSG00000170421,KRT8
ENSG00000135426,TESPA1
ENSG00000229117,RPL41
ENSG00000214548,MEG3
ENSG00000166710,B2M
ENSG00000188536,HBA2
ENSG00000206172,HBA1
ENSG00000103316,CRYM
ENSG00000171345,KRT19
ENSG00000131095,GFAP
ENSG00000132639,SNAP25
ENSG00000087460,GNAS
ENSG00000100285,NEFH
ENSG00000183036,PCP4
ENSG00000160180,TFF3
ENSG00000160182,TFF1
ENSG00000187608,ISG15
ENSG00000078369,GNB1
ENSG00000187730,GABRD
ENSG00000067606,PRKCZ
ENSG00000116251,RPL22
ENSG00000097021,ACOT7
ENSG00000074800,ENO1
ENSG00000171603,CLSTN1
ENSG00000116688,MFN2
ENSG00000142634,EFHD2
ENSG00000159363,ATP13A2
ENSG00000162545,CAMK2N1
ENSG00000158828,PINK1
ENSG00000076864,RAP1GAP
ENSG00000057757,PITHD1
ENSG00000117632,STMN1
ENSG00000142669,SH3BGRL3
ENSG00000130770,ATP5IF1
ENSG00000121769,FABP3
ENSG00000121753,ADGRB2
ENSG00000121905,HPCA
ENSG00000020129,NCDN
ENSG00000142937,RPS8
ENSG00000117450,PRDX1
ENSG00000173660,UQCRH
ENSG00000162374,ELAVL4
ENSG00000085832,EPS15
ENSG00000162378,ZYG11B
ENSG00000157216,SSBP3
ENSG00000116133,DHCR24
ENSG00000154027,AK5
ENSG00000142875,PRKACB
ENSG00000134243,SORT1
ENSG00000197106,SLC6A17
ENSG00000134248,LAMTOR5
ENSG00000116459,ATP5PB
ENSG00000155366,RHOC
ENSG00000163399,ATP1A1
ENSG00000266472,MRPS21
ENSG00000159377,PSMB4
ENSG00000185499,MUC1
ENSG00000160752,FDPS
ENSG00000160753,RUSC1
ENSG00000162734,PEA15
ENSG00000215845,TSTD1
ENSG00000158864,NDUFS2
ENSG00000185630,PBX1
ENSG00000143198,MGST3
ENSG00000143153,ATP1B1
ENSG00000197959,DNM3
ENSG00000143742,SRP9
ENSG00000163041,H3F3A
ENSG00000143761,ARF1
ENSG00000171863,RPS7
ENSG00000134308,YWHAQ
ENSG00000115756,HPCAL1
ENSG00000084731,KIF3C
ENSG00000115194,SLC30A3
ENSG00000119801,YPEL5
ENSG00000013016,EHD3
ENSG00000152154,TMEM178A
ENSG00000138078,PREPL
ENSG00000115310,RTN4
ENSG00000143947,RPS27A
ENSG00000119866,BCL11A
ENSG00000014641,MDH1
ENSG00000119865,CNRIP1
ENSG00000135940,COX5B
ENSG00000040933,INPP4A
ENSG00000170500,LONRF2
ENSG00000175874,CREG2
ENSG00000135968,GCC2
ENSG00000175701,SMIM37
ENSG00000152082,MZT2B
ENSG00000115762,PLEKHB2
ENSG00000168280,KIF5C
ENSG00000115233,PSMD14
ENSG00000128656,CHN1
ENSG00000154518,ATP5MC3
ENSG00000170035,UBE2E3
ENSG00000144369,FAM171B
ENSG00000115419,GLS
ENSG00000144339,TMEFF2
ENSG00000196950,SLC39A10
ENSG00000119013,NDUFB3
ENSG00000078018,MAP2
ENSG00000115365,LANCL1
ENSG00000115414,FN1
ENSG00000197756,RPL37A
ENSG00000115461,IGFBP5
ENSG00000127824,TUBA4A
ENSG00000116106,EPHA4
ENSG00000171951,SCG2
ENSG00000187957,DNER
ENSG00000066248,NGEF
ENSG00000172428,COPS9
ENSG00000130294,KIF1A
ENSG00000157103,SLC6A1
ENSG00000157152,SYN2
ENSG00000144713,RPL32
ENSG00000144711,IQSEC1
ENSG00000174748,RPL15
ENSG00000163539,CLASP2
ENSG00000168028,RPSA
ENSG00000188846,RPL14
ENSG00000168036,CTNNB1
ENSG00000181061,HIGD1A
ENSG00000010256,UQCRC1
ENSG00000164061,BSN
ENSG00000164076,CAMKV
ENSG00000162244,RPL29
ENSG00000269028,MTRNR2L12
