gene_id,gene_name
ENSG00000142669,SH3BGRL3
ENSG00000115457,IGFBP2
ENSG00000134982,APC
ENSG00000124772,CPNE5
ENSG00000123562,MORF4L2
ENSG00000165443,PHYHIPL
ENSG00000204442,FAM155A
ENSG00000117906,RCN2
ENSG00000102879,CORO1A
ENSG00000072778,ACADVL
ENSG00000277972,CISD3
ENSG00000122585,NPY
ENSG00000211592,IGKC
ENSG00000244734,HBB
ENSG00000173432,SAA1
ENSG00000110484,SCGB2A2
ENSG00000111341,MGP
ENSG00000211892,IGHG4
ENSG00000211895,IGHA1
ENSG00000211897,IGHG3
ENSG00000188536,HBA2
ENSG00000206172,HBA1
ENSG00000211677,IGLC2
ENSG00000121905,HPCA
ENSG00000163191,S100A11
ENSG00000185499,MUC1
ENSG00000143320,CRABP2
ENSG00000248485,PCP4L1
ENSG00000115310,RTN4
ENSG00000034510,TMSB10
ENSG00000115461,IGFBP5
ENSG00000134121,CHL1
ENSG00000012223,LTF
ENSG00000269028,MTRNR2L12
ENSG00000153002,CPB1
ENSG00000175182,FAM131A
ENSG00000157005,SST
ENSG00000164326,CARTPT
ENSG00000145824,CXCL14
ENSG00000019582,CD74
ENSG00000211445,GPX3
ENSG00000112186,CAP2
ENSG00000206503,HLA-A
ENSG00000204525,HLA-C
ENSG00000234745,HLA-B
ENSG00000204287,HLA-DRA
ENSG00000118432,CNR1
ENSG00000106541,AGR2
ENSG00000160862,AZGP1
ENSG00000159763,PIP
ENSG00000102226,USP11
ENSG00000104722,NEFM
ENSG00000170323,FABP4
ENSG00000123119,NECAB1
ENSG00000164919,COX6C
ENSG00000117984,CTSD
ENSG00000124935,SCGB1D2
ENSG00000110092,CCND1
ENSG00000107485,GATA3
ENSG00000095739,BAMBI
ENSG00000170324,FRMPD2
ENSG00000148671,ADIRF
ENSG00000139190,VAMP1
ENSG00000170421,KRT8
ENSG00000111057,KRT18
ENSG00000165949,IFI27
ENSG00000166710,B2M
ENSG00000186260,MKL2
ENSG00000176046,NUPR1
ENSG00000167526,RPL13
ENSG00000171345,KRT19
ENSG00000108821,COL1A1
ENSG00000109062,SLC9A3R1
ENSG00000088832,FKBP1A
ENSG00000101335,MYL9
ENSG00000197766,CFD
ENSG00000100219,XBP1
ENSG00000100285,NEFH
ENSG00000100362,PVALB
ENSG00000100097,LGALS1
ENSG00000183036,PCP4
ENSG00000160180,TFF3
ENSG00000160182,TFF1
ENSG00000142156,COL6A1
ENSG00000142173,COL6A2
ENSG00000187608,ISG15
ENSG00000158109,TPRG1L
ENSG00000069424,KCNAB2
ENSG00000116254,CHD5
ENSG00000116251,RPL22
ENSG00000116288,PARK7
ENSG00000171603,CLSTN1
ENSG00000162545,CAMK2N1
ENSG00000142676,RPL11
ENSG00000130770,ATP5IF1
ENSG00000121753,ADGRB2
ENSG00000175130,MARCKSL1
ENSG00000020129,NCDN
ENSG00000168653,NDUFS5
ENSG00000116983,HPCAL4
ENSG00000142937,RPS8
ENSG00000173660,UQCRH
ENSG00000085832,EPS15
ENSG00000162378,ZYG11B
ENSG00000157216,SSBP3
ENSG00000154027,AK5
ENSG00000143013,LMO4
ENSG00000189195,BTBD8
ENSG00000117600,PLPPR4
ENSG00000031698,SARS
ENSG00000177301,KCNA2
ENSG00000155366,RHOC
ENSG00000163399,ATP1A1
ENSG00000265972,TXNIP
ENSG00000159164,SV2A
ENSG00000143420,ENSA
ENSG00000143416,SELENBP1
ENSG00000197747,S100A10
ENSG00000197956,S100A6
ENSG00000143543,JTB
ENSG00000177954,RPS27
ENSG00000143537,ADAM15
ENSG00000169242,EFNA1
ENSG00000160781,PAQR6
ENSG00000125462,C1orf61
ENSG00000116604,MEF2D
ENSG00000158710,TAGLN2
ENSG00000215845,TSTD1
ENSG00000117152,RGS4
ENSG00000185630,PBX1
ENSG00000143198,MGST3
ENSG00000143164,DCAF6
ENSG00000143153,ATP1B1
ENSG00000075945,KIFAP3
ENSG00000152092,ASTN1
ENSG00000198216,CACNA1E
ENSG00000135821,GLUL
ENSG00000157064,NMNAT2
ENSG00000162630,B3GALT2
ENSG00000118200,CAMSAP2
ENSG00000159176,CSRP1
ENSG00000163531,NFASC
ENSG00000184144,CNTN2
ENSG00000117266,CDK18
ENSG00000143499,SMYD2
ENSG00000162817,C1orf115
ENSG00000162909,CAPN2
ENSG00000163041,H3F3A
ENSG00000143761,ARF1
ENSG00000135744,AGT
ENSG00000119280,C1orf198
ENSG00000168264,IRF2BP2
ENSG00000198626,RYR2
ENSG00000133019,CHRM3
ENSG00000182901,RGS7
ENSG00000054277,OPN3
ENSG00000179456,ZBTB18
ENSG00000186487,MYT1L
ENSG00000115756,HPCAL1
ENSG00000134318,ROCK2
ENSG00000162981,FAM84A
ENSG00000079785,DDX1
ENSG00000163032,VSNL1
ENSG00000138029,HADHB
ENSG00000119801,YPEL5
ENSG00000183023,SLC8A1
ENSG00000138078,PREPL
ENSG00000171132,PRKCE
ENSG00000143933,CALM2
ENSG00000143947,RPS27A
ENSG00000221823,PPP3R1
ENSG00000119865,CNRIP1
ENSG00000115977,AAK1
ENSG00000066032,CTNNA2
ENSG00000172005,MAL
ENSG00000196872,KIAA1211L
ENSG00000175874,CREG2
ENSG00000152082,MZT2B
ENSG00000136541,ERMN
ENSG00000136535,TBR1
ENSG00000144290,SLC4A10
ENSG00000136531,SCN2A
ENSG00000178662,CSRNP3
ENSG00000144285,SCN1A
ENSG00000172292,CERS6
ENSG00000091428,RAPGEF4
ENSG00000128656,CHN1
ENSG00000154518,ATP5MC3
