gene_id,gene_name
ENSG00000187642,PERM1
ENSG00000171621,SPSB1
ENSG00000241563,CORT
ENSG00000184454,NCMAP
ENSG00000169442,CD52
ENSG00000142751,GPN2
ENSG00000163909,HEYL
ENSG00000134256,CD101
ENSG00000092607,TBX15
ENSG00000143603,KCNN3
ENSG00000075391,RASAL2
ENSG00000285280,AL390957.1
ENSG00000115705,TPO
ENSG00000272002,AC010904.2
ENSG00000119801,YPEL5
ENSG00000085760,MTIF2
ENSG00000144191,CNGA3
ENSG00000169994,MYO7B
ENSG00000144355,DLX1
ENSG00000128709,HOXD9
ENSG00000226363,HAGLROS
ENSG00000115457,IGFBP2
ENSG00000260942,CAPN10-DT
ENSG00000168036,CTNNB1
ENSG00000272077,AC124045.1
ENSG00000228350,LINC02585
ENSG00000144747,TMF1
ENSG00000173175,ADCY5
ENSG00000017260,ATP2C1
ENSG00000175040,CHST2
ENSG00000157005,SST
ENSG00000114315,HES1
ENSG00000272885,AC092574.1
ENSG00000206113,CFAP99
ENSG00000247708,STX18-AS1
ENSG00000181617,FDCSP
ENSG00000109321,AREG
ENSG00000251185,AC025244.1
ENSG00000138778,CENPE
ENSG00000164125,FAM198B
ENSG00000038295,TLL1
ENSG00000164187,LMBRD2
ENSG00000145681,HAPLN1
ENSG00000113396,SLC27A6
ENSG00000249082,C5orf66-AS1
ENSG00000236714,LINC01844
ENSG00000094755,GABRP
ENSG00000227507,LTB
ENSG00000146250,PRSS35
ENSG00000112249,ASCC3
ENSG00000164440,TXLNB
ENSG00000120279,MYCT1
ENSG00000112029,FBXO5
ENSG00000146433,TMEM181
ENSG00000105963,ADAP1
ENSG00000183742,MACC1
ENSG00000106128,GHRHR
ENSG00000228434,AC004951.1
ENSG00000146676,PURB
ENSG00000174697,LEP
ENSG00000164707,SLC13A4
ENSG00000245970,AP003352.1
ENSG00000178896,EXOSC4
ENSG00000188133,TMEM215
ENSG00000196873,CBWD3
ENSG00000136943,CTSV
ENSG00000167130,DOLPP1
ENSG00000197191,CYSRT1
ENSG00000238184,CD81-AS1
ENSG00000175505,CLCF1
ENSG00000255949,RPS6KB2-AS1
ENSG00000172725,CORO1B
ENSG00000285094,LINC01488
ENSG00000244411,KRTAP5-7
ENSG00000137727,ARHGAP20
ENSG00000226762,AL451164.1
ENSG00000231920,NEBL-AS1
ENSG00000228065,LINC01515
ENSG00000107566,ERLIN1
ENSG00000139053,PDE6H
ENSG00000205592,MUC19
ENSG00000135451,TROAP
ENSG00000161791,FMNL3
ENSG00000166148,AVPR1A
ENSG00000127720,METTL25
ENSG00000059758,CDK17
ENSG00000186710,CFAP73
ENSG00000274859,AC131238.1
ENSG00000283361,CFAP97D2
ENSG00000205978,NYNRIN
ENSG00000258548,LINC00645
ENSG00000131969,ABHD12B
ENSG00000258733,LINC02328
ENSG00000258792,AL137230.1
ENSG00000152315,KCNK13
ENSG00000211891,IGHE
ENSG00000259460,AC078909.1
ENSG00000137801,THBS1
ENSG00000166920,C15orf48
ENSG00000259705,AC084757.3
ENSG00000131634,TMEM204
ENSG00000260095,AC106820.3
ENSG00000274367,AC004233.4
ENSG00000103528,SYT17
ENSG00000283662,AC138904.3
ENSG00000261231,LINC02133
ENSG00000246379,AC007495.1
ENSG00000260577,AC126773.2
ENSG00000167377,ZNF23
ENSG00000126562,WNK4
ENSG00000141194,OR4D1
ENSG00000275542,AC027601.3
ENSG00000267651,AC015961.1
ENSG00000041353,RAB27B
ENSG00000122490,PQLC1
ENSG00000278595,AL133396.2
ENSG00000125885,MCM8
ENSG00000185052,SLC24A3
ENSG00000182463,TSHZ2
ENSG00000267633,AC008686.1
ENSG00000267924,AC139769.2
ENSG00000105675,ATP4A
ENSG00000099337,KCNK6
ENSG00000270164,LINC01480
ENSG00000160013,PTGIR
ENSG00000269873,AC245884.10
ENSG00000254709,IGLL5
ENSG00000226471,Z93930.2
ENSG00000224050,AL008723.1
ENSG00000244509,APOBEC3C
ENSG00000273145,BX537318.1
ENSG00000280018,CU634019.6
ENSG00000159197,KCNE2
ENSG00000160218,TRAPPC10
ENSG00000184441,AP001062.1
ENSG00000122585,NPY
ENSG00000172724,CCL19
ENSG00000211592,IGKC
ENSG00000132465,JCHAIN
ENSG00000244734,HBB
ENSG00000134339,SAA2
ENSG00000211892,IGHG4
ENSG00000211896,IGHG1
ENSG00000211897,IGHG3
ENSG00000211899,IGHM
ENSG00000188536,HBA2
ENSG00000105369,CD79A
ENSG00000211677,IGLC2
ENSG00000211679,IGLC3
ENSG00000198763,MT-ND2
ENSG00000121905,HPCA
ENSG00000185499,MUC1
ENSG00000248485,PCP4L1
ENSG00000143858,SYT2
ENSG00000186854,TRABD2A
ENSG00000034510,TMSB10
ENSG00000144119,C1QL2
ENSG00000153234,NR4A2
ENSG00000204262,COL5A2
ENSG00000171951,SCG2
ENSG00000187094,CCK
ENSG00000168309,FAM107A
ENSG00000153002,CPB1
ENSG00000163993,S100P
ENSG00000169851,PCDH7
ENSG00000163631,ALB
ENSG00000152583,SPARCL1
ENSG00000196616,ADH1B
ENSG00000164326,CARTPT
ENSG00000169567,HINT1
ENSG00000271824,SMIM32
ENSG00000211445,GPX3
ENSG00000196262,PPIA
ENSG00000196937,FAM3C
ENSG00000159763,PIP
ENSG00000179388,EGR3
ENSG00000104722,NEFM
ENSG00000170323,FABP4
ENSG00000164919,COX6C
ENSG00000173432,SAA1
ENSG00000124935,SCGB1D2
ENSG00000110484,SCGB2A2
ENSG00000026025,VIM
ENSG00000170324,FRMPD2
ENSG00000173267,SNCG
ENSG00000148671,ADIRF
ENSG00000139190,VAMP1
ENSG00000111341,MGP
ENSG00000170421,KRT8
ENSG00000165949,IFI27
ENSG00000211890,IGHA2
ENSG00000211895,IGHA1
ENSG00000206172,HBA1
ENSG00000103316,CRYM
ENSG00000171724,VAT1L
ENSG00000171346,KRT15
ENSG00000171345,KRT19
ENSG00000131095,GFAP
ENSG00000130477,UNC13A
ENSG00000255974,CYP2A6
ENSG00000100219,XBP1
ENSG00000100285,NEFH
ENSG00000100097,LGALS1
ENSG00000183036,PCP4
ENSG00000160182,TFF1
ENSG00000198888,MT-ND1
