gene_symbol,gene_name
ENSG00000185436,IFNLR1
ENSG00000284773,AC114490.3
ENSG00000116711,PLA2G4A
ENSG00000143858,SYT2
ENSG00000135763,URB2
ENSG00000233723,LINC01122
ENSG00000115423,DNAH6
ENSG00000136546,SCN7A
ENSG00000180914,OXTR
ENSG00000272146,ARF4-AS1
ENSG00000163630,SYNPR
ENSG00000179348,GATA2
ENSG00000273486,AC096992.2
ENSG00000114204,SERPINI2
ENSG00000171121,KCNMB3
ENSG00000172578,KLHL6
ENSG00000157005,SST
ENSG00000174004,NRROS
ENSG00000109805,NCAPG
ENSG00000163071,SPATA18
ENSG00000138668,HNRNPD
ENSG00000180801,ARSJ
ENSG00000142731,PLK4
ENSG00000270883,AC080078.2
ENSG00000081059,TCF7
ENSG00000094755,GABRP
ENSG00000137434,C6orf52
ENSG00000232040,ZBED9
ENSG00000196735,HLA-DQA1
ENSG00000271761,AL021368.1
ENSG00000272941,AC083862.2
ENSG00000147246,HTR2C
ENSG00000272155,AC055822.1
ENSG00000272425,AC009902.3
ENSG00000188921,HACD4
ENSG00000099139,PCSK5
ENSG00000231990,AL442224.1
ENSG00000175591,P2RY2
ENSG00000175538,KCNE3
ENSG00000255471,AP001528.2
ENSG00000134627,PIWIL4
ENSG00000011105,TSPAN9
ENSG00000186666,BCDIN3D
ENSG00000151164,RAD9B
ENSG00000273729,AC007686.3
ENSG00000167981,ZNF597
ENSG00000275807,AC145285.6
ENSG00000171928,TVP23B
ENSG00000238083,LRRC37A2
ENSG00000166573,GALR1
ENSG00000270001,AL121894.2
ENSG00000225975,LINC01534
ENSG00000272829,AC002470.1
ENSG00000100206,DMC1
ENSG00000260583,AP000223.1
ENSG00000237950,AL357079.1
ENSG00000132854,KANK4
ENSG00000272931,AC099568.2
ENSG00000079335,CDC14A
ENSG00000203814,HIST2H2BF
ENSG00000268288,AL589765.5
ENSG00000229588,AL390115.1
ENSG00000203710,CR1
ENSG00000235615,AJ239322.1
ENSG00000237380,HOXD-AS2
ENSG00000234919,LINC01827
ENSG00000187288,CIDEC
ENSG00000081148,IMPG2
ENSG00000272970,AC107294.2
ENSG00000073282,TP63
ENSG00000157765,SLC34A2
ENSG00000226887,ERVMER34-1
ENSG00000270720,AC104785.1
ENSG00000228358,LINC02263
ENSG00000249937,LINC02223
ENSG00000272416,AC025175.1
ENSG00000205572,SERF1B
ENSG00000272017,AL137784.2
ENSG00000270419,CAHM
ENSG00000228010,AC073343.2
ENSG00000105929,ATP6V0A4
ENSG00000169906,S100G
ENSG00000126759,CFP
ENSG00000176076,KCNE5
ENSG00000272267,AC021242.3
ENSG00000271148,AC023762.1
ENSG00000249328,AC036214.1
ENSG00000253868,FER1L6-AS2
ENSG00000165071,TMEM71
ENSG00000172724,CCL19
ENSG00000231528,FAM225A
ENSG00000257524,AL157935.2
ENSG00000204001,LCN8
ENSG00000275549,STPG3-AS1
ENSG00000189057,FAM111B
ENSG00000255126,AP003064.1
ENSG00000255337,AP001830.1
ENSG00000149548,CCDC15
ENSG00000280809,LINC00836
ENSG00000198298,ZNF485
ENSG00000269891,ARHGAP19-SLIT1
ENSG00000110848,CD69
ENSG00000172551,MUCL1
ENSG00000224418,STK24-AS1
ENSG00000236914,LINC01852
ENSG00000285080,AC068724.3
ENSG00000137819,PAQR5
ENSG00000169684,CHRNA5
ENSG00000275120,AC048382.5
ENSG00000140557,ST8SIA2
ENSG00000260778,AC009065.4
ENSG00000172382,PRSS27
ENSG00000183921,SDR42E2
ENSG00000260228,AC009119.1
ENSG00000226180,AC010536.1
ENSG00000167711,SERPINF2
ENSG00000229782,AC118754.1
ENSG00000260647,AC127537.1
ENSG00000278668,AC005899.7
ENSG00000131471,AOC3
ENSG00000005102,MEOX1
ENSG00000136457,CHAD
ENSG00000250107,CACNA1G-AS1
ENSG00000166263,STXBP4
ENSG00000267325,LINC01415
ENSG00000260578,AC110597.1
ENSG00000213742,ZNF337-AS1
ENSG00000244274,DBNDD2
ENSG00000174403,MIR1-1HG-AS1
ENSG00000178297,TMPRSS9
ENSG00000267470,ZNF571-AS1
ENSG00000211679,IGLC3
ENSG00000100341,PNPLA5
ENSG00000154645,CHODL
ENSG00000271254,AC240274.1
ENSG00000155749,ALS2CR12
ENSG00000181617,FDCSP
ENSG00000285122,AC083829.2
ENSG00000244734,HBB
ENSG00000156738,MS4A1
ENSG00000247498,GPRC5D-AS1
ENSG00000257653,AC117498.1
ENSG00000211897,IGHG3
ENSG00000117632,STMN1
ENSG00000034510,TMSB10
ENSG00000211592,IGKC
ENSG00000171617,ENC1
ENSG00000165066,NKX6-3
ENSG00000255823,MTRNR2L8
ENSG00000134339,SAA2
ENSG00000173432,SAA1
ENSG00000124935,SCGB1D2
ENSG00000110484,SCGB2A2
ENSG00000111341,MGP
ENSG00000211890,IGHA2
ENSG00000211892,IGHG4
ENSG00000211895,IGHA1
ENSG00000211899,IGHM
ENSG00000137818,RPLP1
ENSG00000171346,KRT15
ENSG00000171345,KRT19
ENSG00000211677,IGLC2
ENSG00000183036,PCP4
ENSG00000160180,TFF3
ENSG00000160182,TFF1
ENSG00000228192,AL512353.1
ENSG00000159588,CCDC17
ENSG00000057468,MSH4
ENSG00000185499,MUC1
ENSG00000185860,CCDC190
ENSG00000115756,HPCAL1
ENSG00000270100,AC012065.4
ENSG00000115310,RTN4
ENSG00000270996,AC005034.4
ENSG00000168658,VWA3B
ENSG00000019169,MARCO
ENSG00000177519,RPRM
ENSG00000153234,NR4A2
ENSG00000231453,LINC01305
ENSG00000163599,CTLA4
ENSG00000115414,FN1
ENSG00000115461,IGFBP5
ENSG00000175084,DES
ENSG00000169031,COL4A3
ENSG00000236432,AC097662.1
ENSG00000144481,TRPM8
ENSG00000157152,SYN2
ENSG00000187094,CCK
ENSG00000229972,IQCF3
ENSG00000214381,LINC00488
ENSG00000153002,CPB1
ENSG00000280927,CTBP1-AS
ENSG00000206113,CFAP99
ENSG00000154277,UCHL1
ENSG00000178343,SHISA3
ENSG00000198515,CNGA1
ENSG00000171476,HOPX
ENSG00000132465,JCHAIN
ENSG00000284968,AC093827.4
ENSG00000177822,AC098864.1
ENSG00000271538,LINC02427
ENSG00000164326,CARTPT
ENSG00000249856,AC116337.3
ENSG00000189045,ANKDD1B
ENSG00000113722,CDX1
ENSG00000019582,CD74
ENSG00000231500,RPS18
ENSG00000198523,PLN
ENSG00000172673,THEMIS
ENSG00000227627,AL080276.2
ENSG00000203711,C6orf99
ENSG00000230733,AC092171.2
ENSG00000189043,NDUFA4
ENSG00000106541,AGR2
ENSG00000173467,AGR3
ENSG00000285162,AC004593.3
ENSG00000241644,INMT
ENSG00000164692,COL1A2
ENSG00000231170,AC002451.1
ENSG00000160862,AZGP1
ENSG00000159763,PIP
ENSG00000127377,CRYGN
ENSG00000236017,ASMTL-AS1
ENSG00000123560,PLP1
ENSG00000147403,RPL10
ENSG00000104722,NEFM
ENSG00000277586,NEFL
ENSG00000254802,AC022182.2
ENSG00000104435,STMN2
ENSG00000170323,FABP4
ENSG00000253549,CA3-AS1
ENSG00000164919,COX6C
ENSG00000253877,LINC01608
ENSG00000235448,LURAP1L-AS1
ENSG00000130558,OLFM1
ENSG00000117984,CTSD
ENSG00000110700,RPS13
ENSG00000167996,FTH1
ENSG00000172927,MYEOV
ENSG00000137731,FXYD2
ENSG00000120471,TP53AIP1
ENSG00000178372,CALML5
ENSG00000185267,CDNF
ENSG00000177791,MYOZ1
ENSG00000270087,AC010997.3
ENSG00000224596,ZMIZ1-AS1
ENSG00000173267,SNCG
ENSG00000165646,SLC18A2
ENSG00000276718,AC005840.4
ENSG00000111640,GAPDH
ENSG00000121335,PRB2
ENSG00000246705,H2AFJ
ENSG00000247934,AC022364.1
ENSG00000276136,AC016957.2
ENSG00000110975,SYT10
ENSG00000135406,PRPH
ENSG00000170421,KRT8
ENSG00000111057,KRT18
ENSG00000229117,RPL41
ENSG00000257677,LINC02464
ENSG00000067715,SYT1
ENSG00000111249,CUX2
ENSG00000184047,DIABLO
ENSG00000284848,LINC02359
ENSG00000133083,DCLK1
ENSG00000126231,PROZ
ENSG00000258457,AL132780.2
ENSG00000258636,AL121821.1
ENSG00000273783,AL136040.1
ENSG00000165949,IFI27
ENSG00000166710,B2M
ENSG00000188536,HBA2
ENSG00000099769,IGFALS
ENSG00000140988,RPS2
ENSG00000134419,RPS15A
ENSG00000166869,CHP2
ENSG00000176046,NUPR1
ENSG00000149922,TBX6
ENSG00000198064,NPIPB13
ENSG00000140795,MYLK3
ENSG00000102970,CCL17
ENSG00000259867,AC105411.1
ENSG00000167526,RPL13
ENSG00000266947,AC022916.1
ENSG00000267364,AC022706.1
ENSG00000108298,RPL19
ENSG00000128422,KRT17
ENSG00000131095,GFAP
ENSG00000233101,HOXB-AS3
ENSG00000108821,COL1A1
ENSG00000187997,C17orf99
ENSG00000171246,NPTX1
ENSG00000185168,LINC00482
ENSG00000184009,ACTG1
ENSG00000080986,NDC80
ENSG00000141448,GATA6
ENSG00000132639,SNAP25
ENSG00000173335,CST9
ENSG00000226648,PLCG1-AS1
ENSG00000213714,FAM209B
ENSG00000115268,RPS15
ENSG00000167676,PLIN4
ENSG00000267723,AC011509.2
ENSG00000089356,FXYD3
ENSG00000161281,COX7A1
ENSG00000277453,AC010271.2
ENSG00000255974,CYP2A6
ENSG00000269646,AC010487.2
ENSG00000221874,ZNF816-ZNF321P
ENSG00000267649,AC010327.4
ENSG00000186230,ZNF749
ENSG00000272733,AP000345.2
ENSG00000100219,XBP1
ENSG00000099985,OSM
ENSG00000100362,PVALB
ENSG00000128408,RIBC2
ENSG00000159212,CLIC6
ENSG00000159263,SIM2
ENSG00000237989,LINC01679
ENSG00000198763,MT-ND2
ENSG00000198804,MT-CO1
ENSG00000198712,MT-CO2
ENSG00000228253,MT-ATP8
ENSG00000198899,MT-ATP6
ENSG00000198938,MT-CO3
ENSG00000198840,MT-ND3
ENSG00000198886,MT-ND4
ENSG00000198786,MT-ND5
ENSG00000198727,MT-CYB
ENSG00000187608,ISG15
ENSG00000078369,GNB1
ENSG00000054523,KIF1B
ENSG00000142634,EFHD2
ENSG00000159363,ATP13A2
ENSG00000162545,CAMK2N1
ENSG00000142676,RPL11
ENSG00000175130,MARCKSL1
ENSG00000121905,HPCA
ENSG00000142937,RPS8
ENSG00000117450,PRDX1
ENSG00000173660,UQCRH
ENSG00000116675,DNAJC6
ENSG00000154027,AK5
ENSG00000197747,S100A10
ENSG00000163191,S100A11
ENSG00000188643,S100A16
ENSG00000143578,CREB3L4
ENSG00000177954,RPS27
ENSG00000169242,EFNA1
ENSG00000143320,CRABP2
ENSG00000158710,TAGLN2
ENSG00000162734,PEA15
ENSG00000143198,MGST3
ENSG00000075945,KIFAP3
ENSG00000162630,B3GALT2
ENSG00000123689,G0S2
ENSG00000117691,NENF
ENSG00000143499,SMYD2
ENSG00000163041,H3F3A
ENSG00000203685,STUM
ENSG00000119812,FAM98A
ENSG00000138078,PREPL
ENSG00000143947,RPS27A
ENSG00000119865,CNRIP1
ENSG00000135940,COX5B
ENSG00000153201,RANBP2
ENSG00000152082,MZT2B
ENSG00000115233,PSMD14
ENSG00000136535,TBR1
ENSG00000091428,RAPGEF4
ENSG00000128656,CHN1
ENSG00000115252,PDE1A
ENSG00000168542,COL3A1
ENSG00000204217,BMPR2
ENSG00000078018,MAP2
ENSG00000135919,SERPINE2
ENSG00000066248,NGEF
ENSG00000172428,COPS9
ENSG00000144713,RPL32
ENSG00000174748,RPL15
ENSG00000168028,RPSA
ENSG00000168314,MOBP
ENSG00000188846,RPL14
ENSG00000012223,LTF
ENSG00000162244,RPL29
ENSG00000163618,CADPS
ENSG00000269028,MTRNR2L12
ENSG00000114023,FAM162A
ENSG00000074416,MGLL
ENSG00000091513,TF
ENSG00000158258,CLSTN2
ENSG00000163536,SERPINI1
ENSG00000156976,EIF4A2
ENSG00000181092,ADIPOQ
ENSG00000182899,RPL35A
ENSG00000168993,CPLX1
ENSG00000163993,S100P
ENSG00000151552,QDPR
ENSG00000163682,RPL9
ENSG00000169116,PARM1
ENSG00000138757,G3BP2
ENSG00000118785,SPP1
ENSG00000145335,SNCA
ENSG00000138696,BMPR1B
ENSG00000196616,ADH1B
ENSG00000138814,PPP3CA
ENSG00000138650,PCDH10
ENSG00000153130,SCOC
ENSG00000145425,RPS3A
ENSG00000061918,GUCY1B1
ENSG00000120251,GRIA2
ENSG00000164124,TMEM144
ENSG00000171509,RXFP1
ENSG00000109472,CPE
ENSG00000150625,GPM6A
ENSG00000171368,TPPP
ENSG00000133398,MED10
ENSG00000215218,UBE2QL1
ENSG00000176788,BASP1
ENSG00000113387,SUB1
ENSG00000131711,MAP1B
ENSG00000113319,RASGRF2
ENSG00000127184,COX7C
ENSG00000198961,PJA2
ENSG00000198944,SOWAHA
ENSG00000152377,SPOCK1
ENSG00000164587,RPS14
ENSG00000211445,GPX3
ENSG00000155511,GRIA1
ENSG00000074317,SNCB
ENSG00000161011,SQSTM1
ENSG00000204628,RACK1
ENSG00000137267,TUBB2A
ENSG00000204655,MOG
ENSG00000206503,HLA-A
ENSG00000196230,TUBB
ENSG00000204525,HLA-C
ENSG00000234745,HLA-B
ENSG00000198755,RPL10A
ENSG00000137409,MTCH1
ENSG00000096384,HSP90AB1
ENSG00000096006,CRISP3
ENSG00000156508,EEF1A1
ENSG00000112695,COX7A2
ENSG00000065609,SNAP91
ENSG00000112290,WASF1
ENSG00000189241,TSPYL1
ENSG00000196376,SLC35F1
ENSG00000111897,SERINC1
ENSG00000118523,CTGF
ENSG00000091831,ESR1
ENSG00000074706,IPCEF1
ENSG00000112531,QKI
ENSG00000122566,HNRNPA2B1
ENSG00000122545,SEPT7
ENSG00000196262,PPIA
ENSG00000164742,ADCY1
ENSG00000170419,VSTM2A
ENSG00000106089,STX1A
ENSG00000005486,RHBDD2
ENSG00000135218,CD36
ENSG00000186472,PCLO
ENSG00000170381,SEMA3E
ENSG00000005249,PRKAR2B
ENSG00000105974,CAV1
ENSG00000170775,GPR37
ENSG00000171130,ATP6V0E2
ENSG00000046653,GPM6B
ENSG00000156298,TSPAN7
ENSG00000102226,USP11
ENSG00000008056,SYN1
ENSG00000102109,PCSK1N
ENSG00000198034,RPS4X
ENSG00000131174,COX7B
ENSG00000102409,BEX4
ENSG00000134590,RTL8C
ENSG00000203879,GDI1
ENSG00000156011,PSD3
ENSG00000175445,LPL
ENSG00000147416,ATP6V1B2
ENSG00000092964,DPYSL2
ENSG00000120899,PTK2B
ENSG00000120875,DUSP4
ENSG00000133872,SARAF
ENSG00000104327,CALB1
ENSG00000156482,RPL30
ENSG00000070756,PABPC1
ENSG00000161016,RPL8
ENSG00000155886,SLC24A2
ENSG00000086062,B4GALT1
ENSG00000198963,RORB
ENSG00000106829,TLE4
ENSG00000165023,DIRAS2
ENSG00000136810,TXN
ENSG00000197958,RPL12
ENSG00000136854,STXBP1
ENSG00000119383,PTPA
ENSG00000148303,RPL7A
ENSG00000142089,IFITM3
ENSG00000117983,MUC5B
ENSG00000078902,TOLLIP
ENSG00000050165,DKK3
ENSG00000133816,MICAL2
ENSG00000134333,LDHA
ENSG00000049449,RCN1
ENSG00000126432,PRDX5
ENSG00000149806,FAU
ENSG00000251562,MALAT1
ENSG00000172757,CFL1
ENSG00000172508,CARNS1
ENSG00000110092,CCND1
ENSG00000165434,PGM2L1
ENSG00000149273,RPS3
ENSG00000149294,NCAM1
ENSG00000137726,FXYD6
ENSG00000154096,THY1
ENSG00000166257,SCN3B
ENSG00000154146,NRGN
ENSG00000251226,AP001999.1
ENSG00000067057,PFKP
ENSG00000107485,GATA3
ENSG00000026025,VIM
ENSG00000170324,FRMPD2
ENSG00000165443,PHYHIPL
ENSG00000148660,CAMK2G
ENSG00000148671,ADIRF
ENSG00000138207,RBP4
ENSG00000187122,SLIT1
ENSG00000173915,ATP5MD
ENSG00000151892,GFRA1
ENSG00000111674,ENO2
ENSG00000111348,ARHGDIB
ENSG00000048540,LMO3
ENSG00000123416,TUBA1B
ENSG00000135447,PPP1R1A
ENSG00000135426,TESPA1
ENSG00000092841,MYL6
ENSG00000110955,ATP5F1B
ENSG00000110958,PTGES3
ENSG00000196531,NACA
ENSG00000070961,ATP2B1
ENSG00000173598,NUDT4
ENSG00000074527,NTN4
ENSG00000074590,NUAK1
ENSG00000089009,RPL6
ENSG00000111775,COX6A1
ENSG00000088986,DYNLL1
ENSG00000150991,UBC
ENSG00000256193,LINC00507
ENSG00000122026,RPL21
ENSG00000186184,POLR1D
ENSG00000133112,TPT1
ENSG00000136143,SUCLA2
ENSG00000136156,ITM2B
ENSG00000136099,PCDH8
ENSG00000118946,PCDH17
ENSG00000276644,DACH1
ENSG00000129538,RNASE1
ENSG00000186469,GNG2
ENSG00000139970,RTN1
ENSG00000126803,HSPA2
ENSG00000100554,ATP6V1D
ENSG00000183648,NDUFB1
ENSG00000100604,CHGA
ENSG00000100605,ITPK1
ENSG00000165943,MOAP1
ENSG00000227051,C14orf132
ENSG00000196405,EVL
ENSG00000080824,HSP90AA1
ENSG00000166165,CKB
ENSG00000126214,KLC1
ENSG00000211896,IGHG1
ENSG00000128739,SNRPN
