gene_symbol,gene_name
ENSG00000176092,CRYBG2
ENSG00000229044,AL451070.1
ENSG00000183615,FAM167B
ENSG00000122481,RWDD3
ENSG00000243480,AMY2A
ENSG00000160678,S100A1
ENSG00000158714,SLAMF8
ENSG00000018625,ATP1A2
ENSG00000229588,AL390115.1
ENSG00000143858,SYT2
ENSG00000243491,AC082651.3
ENSG00000179270,C2orf71
ENSG00000170634,ACYP2
ENSG00000115919,KYNU
ENSG00000231672,DIRC3
ENSG00000175084,DES
ENSG00000123977,DAW1
ENSG00000157093,LYZL4
ENSG00000273356,LINC02019
ENSG00000163687,DNASE1L3
ENSG00000243701,DUBR
ENSG00000206384,COL6A6
ENSG00000270195,AC016773.1
ENSG00000109805,NCAPG
ENSG00000157765,SLC34A2
ENSG00000145247,OCIAD2
ENSG00000163071,SPATA18
ENSG00000152595,MEPE
ENSG00000142731,PLK4
ENSG00000248197,LINC00290
ENSG00000205838,TTC23L
ENSG00000094755,GABRP
ENSG00000145912,NHP2
ENSG00000172348,RCAN2
ENSG00000271761,AL021368.1
ENSG00000112110,MRPL18
ENSG00000006747,SCIN
ENSG00000122585,NPY
ENSG00000236494,AC008080.4
ENSG00000285437,POLR2J3
ENSG00000211751,TRBC1
ENSG00000091482,SMPX
ENSG00000147246,HTR2C
ENSG00000232611,AL683813.1
ENSG00000270154,AC130352.1
ENSG00000248738,AC037441.1
ENSG00000253457,SMIM18
ENSG00000104324,CPQ
ENSG00000172724,CCL19
ENSG00000204711,C9orf135
ENSG00000119121,TRPM6
ENSG00000231990,AL442224.1
ENSG00000148120,C9orf3
ENSG00000158169,FANCC
ENSG00000132274,TRIM22
ENSG00000149021,SCGB1A1
ENSG00000175591,P2RY2
ENSG00000149968,MMP3
ENSG00000149305,HTR3B
ENSG00000185303,SFTPA2
ENSG00000120055,C10orf95
ENSG00000197893,NRAP
ENSG00000182022,CHST15
ENSG00000111247,RAD51AP1
ENSG00000110975,SYT10
ENSG00000139537,CCDC65
ENSG00000127325,BEST3
ENSG00000231738,TSPAN19
ENSG00000111199,TRPV4
ENSG00000092295,TGM1
ENSG00000257842,LINC02588
ENSG00000259017,AL133163.3
ENSG00000170345,FOS
ENSG00000270016,AC026150.3
ENSG00000178997,EXD1
ENSG00000074803,SLC12A1
ENSG00000206177,HBM
ENSG00000116176,TPSG1
ENSG00000103522,IL21R
ENSG00000261609,GAN
ENSG00000261327,AC134312.5
ENSG00000181284,TMEM102
ENSG00000178999,AURKB
ENSG00000188522,FAM83G
ENSG00000275302,CCL4
ENSG00000005102,MEOX1
ENSG00000108309,RUNDC3A
ENSG00000274213,AC015912.3
ENSG00000168461,RAB31
ENSG00000166573,GALR1
ENSG00000276026,AL031665.2
ENSG00000170373,CST1
ENSG00000213742,ZNF337-AS1
ENSG00000125999,BPIFB1
ENSG00000124256,ZBP1
ENSG00000175489,LRRC25
ENSG00000105369,CD79A
ENSG00000104852,SNRNP70
ENSG00000242259,C22orf39
ENSG00000236272,Z82214.2
ENSG00000077935,SMC1B
ENSG00000205930,C21orf62-AS1
ENSG00000172551,MUCL1
ENSG00000211592,IGKC
ENSG00000181617,FDCSP
ENSG00000132465,JCHAIN
ENSG00000244734,HBB
ENSG00000156738,MS4A1
ENSG00000211890,IGHA2
ENSG00000211892,IGHG4
ENSG00000211895,IGHA1
ENSG00000211896,IGHG1
ENSG00000211897,IGHG3
ENSG00000211899,IGHM
ENSG00000211677,IGLC2
ENSG00000211679,IGLC3
ENSG00000163191,S100A11
ENSG00000143499,SMYD2
ENSG00000186854,TRABD2A
ENSG00000034510,TMSB10
ENSG00000177519,RPRM
