gene_id,gene_name
ENSG00000185668,POU3F1
ENSG00000162669,HFM1
ENSG00000143028,SYPL2
ENSG00000168679,SLC16A4
ENSG00000225518,LINC01703
ENSG00000188295,ZNF669
ENSG00000176714,CCDC121
ENSG00000273045,C2orf15
ENSG00000171227,TMEM37
ENSG00000177519,RPRM
ENSG00000118231,CRYGD
ENSG00000146205,ANO7
ENSG00000179097,HTR1F
ENSG00000136514,RTP4
ENSG00000133256,PDE6B
ENSG00000168228,ZCCHC4
ENSG00000255458,AC108471.2
ENSG00000138741,TRPC3
ENSG00000113522,RAD50
ENSG00000241370,RPP21
ENSG00000196735,HLA-DQA1
ENSG00000146233,CYP39A1
ENSG00000271761,AL021368.1
ENSG00000146285,SCML4
ENSG00000229214,LINC00242
ENSG00000205413,SAMD9
ENSG00000133134,BEX2
ENSG00000106823,ECM2
ENSG00000255980,AP000439.3
ENSG00000175538,KCNE3
ENSG00000255337,AP001830.1
ENSG00000151715,TMEM45B
ENSG00000244733,AL132656.2
ENSG00000276136,AC016957.2
ENSG00000161800,RACGAP1
ENSG00000136014,USP44
ENSG00000133116,KL
ENSG00000280165,PCDH20
ENSG00000260992,DOCK9-DT
ENSG00000175785,PRIMA1
ENSG00000066735,KIF26A
ENSG00000211890,IGHA2
ENSG00000245750,DRAIC
ENSG00000140368,PSTPIP1
ENSG00000259462,CPEB1-AS1
ENSG00000140511,HAPLN3
ENSG00000231439,WASIR2
ENSG00000155666,KDM8
ENSG00000129195,PIMREG
ENSG00000154016,GRAP
ENSG00000161649,CD300LG
ENSG00000276649,AL117335.1
ENSG00000283078,AL137077.2
ENSG00000184162,NR2C2AP
ENSG00000267470,ZNF571-AS1
ENSG00000176909,MAMSTR
ENSG00000189068,VSTM1
ENSG00000211679,IGLC3
ENSG00000138964,PARVG
ENSG00000187144,SPATA21
ENSG00000225643,AL606491.1
ENSG00000142945,KIF2C
ENSG00000162692,VCAM1
ENSG00000143627,PKLR
ENSG00000026751,SLAMF7
ENSG00000143228,NUF2
ENSG00000133063,CHIT1
ENSG00000162814,SPATA17
ENSG00000231768,LINC01354
ENSG00000115112,TFCP2L1
ENSG00000271324,AC112220.3
ENSG00000179564,LSMEM2
ENSG00000163840,DTX3L
ENSG00000244468,AC093001.1
ENSG00000185798,WDR53
ENSG00000174004,NRROS
ENSG00000272885,AC092574.1
ENSG00000157765,SLC34A2
ENSG00000214559,AC019077.1
ENSG00000178403,NEUROG2
ENSG00000250791,AC106892.1
ENSG00000236922,LINC01378
ENSG00000164294,GPX8
ENSG00000186314,PRELID2
ENSG00000072571,HMMR
ENSG00000285278,AL138885.3
ENSG00000229950,TFAP2A-AS1
ENSG00000272221,AL645933.2
ENSG00000124602,UNC5CL
ENSG00000135346,CGA
ENSG00000047936,ROS1
ENSG00000279968,GVQW2
ENSG00000164488,DACT2
ENSG00000122585,NPY
ENSG00000223561,AC005165.1
ENSG00000285162,AC004593.3
ENSG00000127954,STEAP4
ENSG00000105825,TFPI2
ENSG00000146904,EPHA1
ENSG00000158571,PFKFB1
ENSG00000147443,DOK2
ENSG00000133874,RNF122
ENSG00000183154,AC138356.1
ENSG00000167653,PSCA
ENSG00000283982,AL445623.2
ENSG00000221829,FANCG
ENSG00000272696,AL359091.4
ENSG00000169583,CLIC3
ENSG00000255146,AP004247.2
ENSG00000110195,FOLR1
ENSG00000246523,AP001528.1
ENSG00000167286,CD3D
ENSG00000254863,AP001360.1
ENSG00000281186,AL590637.1
ENSG00000236756,DNAJC9-AS1
ENSG00000272631,AC067750.1
ENSG00000188316,ENO4
ENSG00000276417,AC092111.2
ENSG00000237248,LINC00987
ENSG00000228630,HOTAIR
ENSG00000172551,MUCL1
ENSG00000139547,RDH16
ENSG00000278916,CEP83-DT
ENSG00000250091,DNAH10OS
ENSG00000277011,AC148477.4
ENSG00000150893,FREM2
ENSG00000233725,LINC00284
ENSG00000197168,NEK5
ENSG00000126787,DLGAP5
ENSG00000211893,IGHG2
ENSG00000269930,AC091057.3
ENSG00000259684,AC084756.1
ENSG00000259251,AC104590.1
ENSG00000149922,TBX6
ENSG00000259804,AC027682.1
ENSG00000263126,AC040162.3
ENSG00000141086,CTRL
ENSG00000275302,CCL4
ENSG00000125780,TGM3
ENSG00000088836,SLC4A11
ENSG00000278192,AL118505.1
ENSG00000131044,TTLL9
ENSG00000180305,WFDC10A
ENSG00000226332,AL354836.1
ENSG00000132010,ZNF20
ENSG00000279529,AC008764.8
ENSG00000160229,ZNF66
ENSG00000105672,ETV2
ENSG00000100373,UPK3A
ENSG00000235091,BX324167.1
ENSG00000271254,AC240274.1
ENSG00000182866,LCK
ENSG00000226919,AL365184.1
ENSG00000273073,AC073869.3
ENSG00000271941,AC104184.1
ENSG00000168811,IL12A
ENSG00000241106,HLA-DOB
ENSG00000231113,AL035587.1
ENSG00000273402,AC004908.3
ENSG00000239839,DEFA3
ENSG00000137571,SLCO5A1
ENSG00000137077,CCL21
ENSG00000172543,CTSW
ENSG00000211892,IGHG4
ENSG00000211896,IGHG1
ENSG00000211897,IGHG3
ENSG00000204044,SLC12A5-AS1
ENSG00000211592,IGKC
ENSG00000187094,CCK
ENSG00000112742,TTK
ENSG00000164919,COX6C
ENSG00000244734,HBB
ENSG00000134339,SAA2
ENSG00000173432,SAA1
ENSG00000110484,SCGB2A2
ENSG00000111341,MGP
ENSG00000211895,IGHA1
ENSG00000211677,IGLC2
ENSG00000215910,C1orf167
ENSG00000117632,STMN1
ENSG00000176083,ZNF683
ENSG00000127129,EDN2
ENSG00000228192,AL512353.1
ENSG00000186564,FOXD2
ENSG00000116745,RPE65
ENSG00000188761,BCL2L15
ENSG00000235527,HIPK1-AS1
ENSG00000163191,S100A11
ENSG00000159516,SPRR2G
ENSG00000272030,AL162258.2
ENSG00000185499,MUC1
ENSG00000235736,AL031275.1
ENSG00000116194,ANGPTL1
ENSG00000162630,B3GALT2
ENSG00000123689,G0S2
ENSG00000223536,AC008164.1
ENSG00000259439,LINC01833
ENSG00000170577,SIX2
ENSG00000034510,TMSB10
ENSG00000281904,AC233263.6
ENSG00000233087,RAB6D
ENSG00000144354,CDCA7
ENSG00000115461,IGFBP5
ENSG00000271192,AC006058.2
ENSG00000223343,AC137630.1
ENSG00000272434,AC137630.3
ENSG00000145103,ILDR1
ENSG00000172771,EFCAB12
ENSG00000239213,NCK1-DT
ENSG00000153002,CPB1
ENSG00000240497,AC092919.1
ENSG00000247708,STX18-AS1
ENSG00000272620,AFAP1-AS1
ENSG00000280650,KCNIP4-IT1
ENSG00000154277,UCHL1
ENSG00000273369,AC096586.2
ENSG00000188993,LRRC66
ENSG00000180613,GSX2
ENSG00000163631,ALB
ENSG00000029559,IBSP
ENSG00000163106,HPGDS
ENSG00000196616,ADH1B
ENSG00000205403,CFI
ENSG00000251432,AC108062.1
ENSG00000150625,GPM6A
ENSG00000272417,AC034229.4
ENSG00000271788,AC008875.1
ENSG00000272416,AC025175.1
ENSG00000164283,ESM1
ENSG00000164326,CARTPT
ENSG00000131711,MAP1B
ENSG00000171617,ENC1
ENSG00000127184,COX7C
ENSG00000250120,PCDHA10
ENSG00000019582,CD74
ENSG00000211445,GPX3
ENSG00000137267,TUBB2A
