gene_symbol,gene_name
ENSG00000169885,CALML6
ENSG00000230424,AL035413.1
ENSG00000117450,PRDX1
ENSG00000173660,UQCRH
ENSG00000154027,AK5
ENSG00000265107,GJA5
ENSG00000158887,MPZ
ENSG00000232480,TGFB2-AS1
ENSG00000221823,PPP3R1
ENSG00000172116,CD8B
ENSG00000261600,AC233266.2
ENSG00000115290,GRB14
ENSG00000128709,HOXD9
ENSG00000231672,DIRC3
ENSG00000152049,KCNE4
ENSG00000271937,AC104187.1
ENSG00000138472,GUCA1C
ENSG00000181847,TIGIT
ENSG00000240875,LINC00886
ENSG00000090534,THPO
ENSG00000163347,CLDN1
ENSG00000181617,FDCSP
ENSG00000249307,LINC01088
ENSG00000272646,AC079766.1
ENSG00000170549,IRX1
ENSG00000178187,ZNF454
ENSG00000112182,BACH2
ENSG00000071242,RPS6KA2
ENSG00000272848,AL009176.1
ENSG00000122543,OCM
ENSG00000122585,NPY
ENSG00000169906,S100G
ENSG00000231728,TMSB15B-AS1
ENSG00000178460,MCMDC2
ENSG00000174226,SNX31
ENSG00000164924,YWHAZ
ENSG00000164841,TMEM74
ENSG00000164756,SLC30A8
ENSG00000180155,LYNX1
ENSG00000180071,ANKRD18A
ENSG00000224958,PGM5-AS1
ENSG00000204706,MAMDC2-AS1
ENSG00000237372,AL606807.1
ENSG00000244187,TMEM141
ENSG00000254695,AC087379.2
ENSG00000149021,SCGB1A1
ENSG00000149591,TAGLN
ENSG00000214688,C10orf105
ENSG00000224596,ZMIZ1-AS1
ENSG00000107779,BMPR1A
ENSG00000215241,LINC02449
ENSG00000139053,PDE6H
ENSG00000276148,AC084824.5
ENSG00000172551,MUCL1
ENSG00000133636,NTS
ENSG00000227354,RBM26-AS1
ENSG00000258844,AL162511.1
ENSG00000206187,LINC02346
ENSG00000188277,C15orf62
ENSG00000259511,UBE2Q2L
ENSG00000172236,TPSAB1
ENSG00000090447,TFAP4
ENSG00000069764,PLA2G10
ENSG00000260306,AC092375.2
ENSG00000261359,PYCARD-AS1
ENSG00000261008,LINC01572
ENSG00000260788,AC009063.2
ENSG00000205899,BHLHA9
ENSG00000265618,AC002094.2
ENSG00000176749,CDK5R1
ENSG00000196169,KIF19
ENSG00000075643,MOCOS
ENSG00000186458,DEFB132
ENSG00000149488,TMC2
ENSG00000198959,TGM2
ENSG00000141977,CIB3
ENSG00000269439,AC010618.3
ENSG00000160161,CILP2
ENSG00000267498,AC007786.1
ENSG00000124440,HIF3A
ENSG00000269235,ZNF350-AS1
ENSG00000142405,NLRP12
ENSG00000088053,GP6
ENSG00000211679,IGLC3
ENSG00000100292,HMOX1
ENSG00000184068,AL021453.1
ENSG00000236272,Z82214.2
ENSG00000234883,MIR155HG
ENSG00000159082,SYNJ1
ENSG00000172724,CCL19
ENSG00000211592,IGKC
ENSG00000132465,JCHAIN
ENSG00000244734,HBB
ENSG00000211892,IGHG4
ENSG00000211895,IGHA1
ENSG00000211896,IGHG1
ENSG00000211897,IGHG3
ENSG00000188536,HBA2
ENSG00000211677,IGLC2
ENSG00000020129,NCDN
ENSG00000143013,LMO4
ENSG00000162747,FCGR3B
ENSG00000117152,RGS4
ENSG00000143153,ATP1B1
ENSG00000123689,G0S2
ENSG00000163032,VSNL1
ENSG00000143933,CALM2
ENSG00000128656,CHN1
ENSG00000115461,IGFBP5
ENSG00000187288,CIDEC
ENSG00000187094,CCK
ENSG00000153002,CPB1
ENSG00000163536,SERPINI1
ENSG00000154277,UCHL1
ENSG00000163631,ALB
ENSG00000152583,SPARCL1
ENSG00000138814,PPP3CA
ENSG00000145425,RPS3A
ENSG00000150625,GPM6A
ENSG00000176788,BASP1
