gene_symbol,gene_name
ENSG00000273010,AL360270.3
ENSG00000196189,SEMA4A
ENSG00000163435,ELF3
ENSG00000198468,FLVCR1-DT
ENSG00000269976,AC012065.3
ENSG00000115194,SLC30A3
ENSG00000237883,DGUOK-AS1
ENSG00000115233,PSMD14
ENSG00000175879,HOXD8
ENSG00000115361,ACADL
ENSG00000172478,C2orf54
ENSG00000065371,ROPN1
ENSG00000047457,CP
ENSG00000196542,SPTSSB
ENSG00000114204,SERPINI2
ENSG00000113889,KNG1
ENSG00000250910,AC097467.3
ENSG00000249609,AC080188.1
ENSG00000078295,ADCY2
ENSG00000272416,AC025175.1
ENSG00000230561,CCDC192
ENSG00000249082,C5orf66-AS1
ENSG00000145936,KCNMB1
ENSG00000057657,PRDM1
ENSG00000122585,NPY
ENSG00000006128,TAC1
ENSG00000211751,TRBC1
ENSG00000169906,S100G
ENSG00000183801,OLFML1
ENSG00000110066,KMT5B
ENSG00000149269,PAK1
ENSG00000244733,AL132656.2
ENSG00000232110,AL353751.1
ENSG00000273262,AL121928.1
ENSG00000278484,AC010998.3
ENSG00000172551,MUCL1
ENSG00000258311,AC009779.3
ENSG00000275759,AC026367.3
ENSG00000274922,AL139384.1
ENSG00000168229,PTGDR
ENSG00000211893,IGHG2
ENSG00000248540,AC010931.2
ENSG00000156206,CFAP161
ENSG00000176723,ZNF843
ENSG00000166558,SLC38A8
ENSG00000275734,AC010538.1
ENSG00000005102,MEOX1
ENSG00000007314,SCN4A
ENSG00000185168,LINC00482
ENSG00000131044,TTLL9
ENSG00000197044,ZNF441
ENSG00000105568,PPP2R1A
ENSG00000213888,LINC01521
ENSG00000280071,GATD3B
ENSG00000211592,IGKC
ENSG00000153002,CPB1
ENSG00000172724,CCL19
ENSG00000244734,HBB
ENSG00000211892,IGHG4
ENSG00000211895,IGHA1
ENSG00000211896,IGHG1
ENSG00000211897,IGHG3
ENSG00000211677,IGLC2
ENSG00000186160,CYP4Z1
ENSG00000185499,MUC1
ENSG00000034510,TMSB10
ENSG00000177519,RPRM
ENSG00000153234,NR4A2
ENSG00000115461,IGFBP5
ENSG00000187094,CCK
ENSG00000012223,LTF
ENSG00000269028,MTRNR2L12
ENSG00000163631,ALB
ENSG00000152583,SPARCL1
ENSG00000131711,MAP1B
ENSG00000019582,CD74
ENSG00000206503,HLA-A
ENSG00000234745,HLA-B
ENSG00000172673,THEMIS
ENSG00000104722,NEFM
ENSG00000277586,NEFL
ENSG00000170323,FABP4
ENSG00000164919,COX6C
ENSG00000176956,LY6H
ENSG00000142089,IFITM3
ENSG00000134339,SAA2
ENSG00000173432,SAA1
ENSG00000124935,SCGB1D2
ENSG00000110484,SCGB2A2
ENSG00000170290,SLN
ENSG00000148671,ADIRF
ENSG00000111341,MGP
ENSG00000170421,KRT8
ENSG00000135447,PPP1R1A
ENSG00000135426,TESPA1
ENSG00000211890,IGHA2
ENSG00000211899,IGHM
ENSG00000166710,B2M
ENSG00000128989,ARPP19
ENSG00000188536,HBA2
ENSG00000206172,HBA1
ENSG00000171724,VAT1L
ENSG00000171346,KRT15
ENSG00000171345,KRT19
ENSG00000128422,KRT17
ENSG00000131095,GFAP
ENSG00000141424,SLC39A6
ENSG00000132639,SNAP25
ENSG00000101439,CST3
ENSG00000197766,CFD
ENSG00000211679,IGLC3
ENSG00000100285,NEFH
ENSG00000183036,PCP4
ENSG00000160180,TFF3
ENSG00000160182,TFF1
ENSG00000198888,MT-ND1
ENSG00000198763,MT-ND2
ENSG00000198804,MT-CO1
ENSG00000198712,MT-CO2
ENSG00000198899,MT-ATP6
ENSG00000198938,MT-CO3
ENSG00000198886,MT-ND4
ENSG00000198786,MT-ND5
ENSG00000198727,MT-CYB
ENSG00000187608,ISG15
ENSG00000078369,GNB1
ENSG00000116251,RPL22
ENSG00000074800,ENO1
ENSG00000054523,KIF1B
ENSG00000142634,EFHD2
ENSG00000162545,CAMK2N1
ENSG00000158828,PINK1
ENSG00000142676,RPL11
ENSG00000117632,STMN1
ENSG00000142669,SH3BGRL3
ENSG00000121769,FABP3
ENSG00000121905,HPCA
ENSG00000163873,GRIK3
ENSG00000142937,RPS8
ENSG00000117450,PRDX1
ENSG00000173660,UQCRH
ENSG00000085832,EPS15
ENSG00000157216,SSBP3
ENSG00000116675,DNAJC6
ENSG00000154027,AK5
ENSG00000137941,TTLL7
ENSG00000143013,LMO4
ENSG00000122406,RPL5
ENSG00000163399,ATP1A1
ENSG00000163191,S100A11
ENSG00000189334,S100A14
ENSG00000132718,SYT11
ENSG00000162734,PEA15
ENSG00000162747,FCGR3B
ENSG00000162745,OLFML2B
ENSG00000143198,MGST3
ENSG00000143153,ATP1B1
ENSG00000162630,B3GALT2
ENSG00000058668,ATP2B4
ENSG00000123689,G0S2
ENSG00000143499,SMYD2
ENSG00000163041,H3F3A
ENSG00000203685,STUM
ENSG00000171863,RPS7
ENSG00000115756,HPCAL1
ENSG00000163032,VSNL1
ENSG00000138078,PREPL
ENSG00000014641,MDH1
ENSG00000119865,CNRIP1
ENSG00000124374,PAIP2B
ENSG00000186854,TRABD2A
ENSG00000175874,CREG2
ENSG00000144119,C1QL2
ENSG00000136535,TBR1
ENSG00000091428,RAPGEF4
ENSG00000128656,CHN1
ENSG00000115252,PDE1A
ENSG00000115419,GLS
ENSG00000144339,TMEFF2
ENSG00000078018,MAP2
ENSG00000127824,TUBA4A
ENSG00000171951,SCG2
ENSG00000135919,SERPINE2
ENSG00000066248,NGEF
ENSG00000115648,MLPH
ENSG00000187288,CIDEC
ENSG00000157152,SYN2
ENSG00000144711,IQSEC1
ENSG00000168028,RPSA
ENSG00000188846,RPL14
ENSG00000181061,HIGD1A
ENSG00000232112,TMA7
ENSG00000187672,ERC2
ENSG00000153266,FEZF2
ENSG00000163630,SYNPR
ENSG00000080822,CLDND1
ENSG00000114391,RPL24
ENSG00000144834,TAGLN3
ENSG00000172020,GAP43
ENSG00000074416,MGLL
ENSG00000163914,RHO
ENSG00000158258,CLSTN2
ENSG00000163536,SERPINI1
ENSG00000156976,EIF4A2
ENSG00000157005,SST
ENSG00000188001,TPRG1
ENSG00000189058,APOD
ENSG00000182899,RPL35A
ENSG00000169020,ATP5ME
ENSG00000168993,CPLX1
ENSG00000170801,HTRA3
ENSG00000151552,QDPR
ENSG00000169851,PCDH7
ENSG00000163682,RPL9
ENSG00000154277,UCHL1
ENSG00000171476,HOPX
ENSG00000132465,JCHAIN
ENSG00000169116,PARM1
ENSG00000138757,G3BP2
ENSG00000118816,CCNI
ENSG00000145284,SCD5
ENSG00000118785,SPP1
ENSG00000177432,NAP1L5
ENSG00000196616,ADH1B
ENSG00000138814,PPP3CA
ENSG00000109475,RPL34
ENSG00000145349,CAMK2D
ENSG00000109654,TRIM2
ENSG00000171509,RXFP1
ENSG00000109472,CPE
ENSG00000150625,GPM6A
ENSG00000171368,TPPP
ENSG00000215218,UBE2QL1
ENSG00000176788,BASP1
ENSG00000112972,HMGCS1
ENSG00000164326,CARTPT
ENSG00000171617,ENC1
ENSG00000113319,RASGRF2
ENSG00000186468,RPS23
ENSG00000081189,MEF2C
ENSG00000134986,NREP
ENSG00000164402,SEPT8
ENSG00000198944,SOWAHA
ENSG00000271824,SMIM32
ENSG00000152377,SPOCK1
ENSG00000070808,CAMK2A
ENSG00000211445,GPX3
ENSG00000113140,SPARC
ENSG00000170231,FABP6
ENSG00000022355,GABRA1
ENSG00000170091,NSG2
ENSG00000145920,CPLX2
ENSG00000074317,SNCB
ENSG00000137267,TUBB2A
ENSG00000112186,CAP2
ENSG00000196230,TUBB
ENSG00000204525,HLA-C
ENSG00000231500,RPS18
ENSG00000198755,RPL10A
ENSG00000124772,CPNE5
ENSG00000137409,MTCH1
ENSG00000146242,TPBG
ENSG00000065609,SNAP91
ENSG00000135346,CGA
ENSG00000249853,HS3ST5
ENSG00000189241,TSPYL1
ENSG00000111897,SERINC1
ENSG00000074706,IPCEF1
ENSG00000112531,QKI
ENSG00000189043,NDUFA4
ENSG00000006468,ETV1
ENSG00000106541,AGR2
ENSG00000196683,TOMM7
ENSG00000164600,NEUROD6
ENSG00000122545,SEPT7
ENSG00000170419,VSTM2A
ENSG00000106089,STX1A
ENSG00000170027,YWHAG
ENSG00000135218,CD36
ENSG00000186472,PCLO
ENSG00000170381,SEMA3E
ENSG00000164692,COL1A2
ENSG00000106236,NPTX2
ENSG00000160862,AZGP1
ENSG00000233123,LINC01007
ENSG00000189056,RELN
ENSG00000105976,MET
ENSG00000196937,FAM3C
ENSG00000106123,EPHB6
ENSG00000159763,PIP
ENSG00000205542,TMSB4X
ENSG00000046653,GPM6B
ENSG00000156298,TSPAN7
ENSG00000102226,USP11
ENSG00000008056,SYN1
ENSG00000102003,SYP
ENSG00000198034,RPS4X
ENSG00000186310,NAP1L3
ENSG00000133169,BEX1
ENSG00000123560,PLP1
ENSG00000101856,PGRMC1
ENSG00000010404,IDS
ENSG00000175445,LPL
ENSG00000147416,ATP6V1B2
ENSG00000254092,AC015468.3
ENSG00000168490,PHYHIP
ENSG00000240694,PNMA2
ENSG00000092964,DPYSL2
ENSG00000120885,CLU
ENSG00000120875,DUSP4
ENSG00000133872,SARAF
