gene_symbol,gene_name
ENSG00000221986,MYBPHL
ENSG00000134256,CD101
ENSG00000163563,MNDA
ENSG00000162747,FCGR3B
ENSG00000081277,PKP1
ENSG00000284237,AL356275.1
ENSG00000119283,TRIM67
ENSG00000196418,ZNF124
ENSG00000007402,CACNA2D2
ENSG00000271843,AC012557.1
ENSG00000242242,NECTIN3-AS1
ENSG00000228561,AC026355.1
ENSG00000249483,AC026726.1
ENSG00000145808,ADAMTS19
ENSG00000243955,GSTA1
ENSG00000188707,ZBED6CL
ENSG00000101811,CSTF2
ENSG00000042980,ADAM28
ENSG00000261542,AC011978.2
ENSG00000196196,HRCT1
ENSG00000123454,DBH
ENSG00000262075,AC174065.1
ENSG00000185885,IFITM1
ENSG00000272933,AL391121.1
ENSG00000177675,CD163L1
ENSG00000100802,C14orf93
ENSG00000182185,RAD51B
ENSG00000211899,IGHM
ENSG00000137809,ITGA11
ENSG00000278662,GOLGA6L10
ENSG00000167377,ZNF23
ENSG00000167513,CDT1
ENSG00000265401,AC093484.3
ENSG00000171962,DRC3
ENSG00000108788,MLX
ENSG00000152229,PSTPIP2
ENSG00000259456,ADNP-AS1
ENSG00000105549,THEG
ENSG00000179168,GGN
ENSG00000079385,CEACAM1
ENSG00000268912,AC012313.5
ENSG00000100055,CYTH4
ENSG00000176083,ZNF683
ENSG00000127129,EDN2
ENSG00000272100,AL513218.1
ENSG00000271092,TMEM56-RWDD3
ENSG00000265107,GJA5
ENSG00000188404,SELL
ENSG00000271952,LINC01954
ENSG00000115163,CENPA
ENSG00000272156,AC008280.3
ENSG00000079263,SP140
ENSG00000160791,CCR5
ENSG00000260236,AC099778.1
ENSG00000273369,AC096586.2
ENSG00000135605,TEC
ENSG00000145692,BHMT
ENSG00000094755,GABRP
ENSG00000120149,MSX2
ENSG00000272316,AL021368.2
ENSG00000118690,ARMC2
ENSG00000231023,LINC00326
ENSG00000203711,C6orf99
ENSG00000105825,TFPI2
ENSG00000066923,STAG3
ENSG00000181016,LSMEM1
ENSG00000182890,GLUD2
ENSG00000168939,SPRY3
ENSG00000183154,AC138356.1
ENSG00000254973,AC105219.4
ENSG00000175315,CST6
ENSG00000254452,AP001107.2
ENSG00000086991,NOX4
ENSG00000156574,NODAL
ENSG00000273124,AL365434.2
ENSG00000284791,AC078864.2
ENSG00000197757,HOXC6
ENSG00000272143,FGF14-AS2
ENSG00000274922,AL139384.1
ENSG00000129465,RIPK3
ENSG00000157766,ACAN
ENSG00000140557,ST8SIA2
ENSG00000131650,KREMEN2
ENSG00000224712,NPIPA3
ENSG00000263165,AC087292.1
ENSG00000278668,AC005899.7
ENSG00000186832,KRT16
ENSG00000131480,AOC2
ENSG00000275516,AC100791.3
ENSG00000101282,RSPO4
ENSG00000278383,AL031673.1
ENSG00000131044,TTLL9
ENSG00000101000,PROCR
ENSG00000124216,SNAI1
ENSG00000268400,AC008763.2
ENSG00000269813,AC010336.6
ENSG00000276846,AC016590.3
ENSG00000183760,ACP7
ENSG00000178150,ZNF114
ENSG00000273428,AC004832.6
ENSG00000227256,MIS18A-AS1
ENSG00000273210,AP001437.1
ENSG00000085840,ORC1
ENSG00000211592,IGKC
ENSG00000168298,HIST1H1E
ENSG00000277075,HIST1H2AE
ENSG00000255495,AC145124.1
ENSG00000172724,CCL19
ENSG00000244734,HBB
ENSG00000119686,FLVCR2
ENSG00000211892,IGHG4
ENSG00000211895,IGHA1
ENSG00000211896,IGHG1
ENSG00000188536,HBA2
ENSG00000185168,LINC00482
ENSG00000180458,AC022148.1
ENSG00000160233,LRRC3
ENSG00000215424,MCM3AP-AS1
ENSG00000185499,MUC1
ENSG00000187094,CCK
ENSG00000163631,ALB
ENSG00000152705,CATSPER3
ENSG00000172673,THEMIS
ENSG00000255823,MTRNR2L8
ENSG00000134339,SAA2
ENSG00000173432,SAA1
ENSG00000124935,SCGB1D2
ENSG00000110484,SCGB2A2
ENSG00000272631,AC067750.1
ENSG00000111341,MGP
ENSG00000259017,AL133163.3
ENSG00000211897,IGHG3
ENSG00000276231,PIK3R6
ENSG00000197766,CFD
ENSG00000211677,IGLC2
ENSG00000100219,XBP1
ENSG00000205632,LINC01310
ENSG00000183036,PCP4
ENSG00000198888,MT-ND1
ENSG00000198763,MT-ND2
ENSG00000237058,AL831784.1
ENSG00000162545,CAMK2N1
ENSG00000228172,AL020996.1
ENSG00000117632,STMN1
ENSG00000271741,AC114490.2
ENSG00000162669,HFM1
ENSG00000064886,CHI3L2
ENSG00000198019,FCGR1B
ENSG00000163191,S100A11
ENSG00000132677,RHBG
ENSG00000174175,SELP
ENSG00000162630,B3GALT2
ENSG00000123689,G0S2
ENSG00000272562,AL512343.2
ENSG00000186197,EDARADD
ENSG00000115756,HPCAL1
ENSG00000084734,GCKR
ENSG00000257702,LBX2-AS1
ENSG00000034510,TMSB10
ENSG00000241962,AC079447.1
ENSG00000153234,NR4A2
ENSG00000238217,LINC01877
ENSG00000138356,AOX1
ENSG00000155749,ALS2CR12
ENSG00000115461,IGFBP5
ENSG00000157152,SYN2
ENSG00000240057,AC078785.1
ENSG00000250934,AC016924.1
ENSG00000153002,CPB1
ENSG00000198829,SUCNR1
ENSG00000168811,IL12A
ENSG00000260743,AC007823.1
ENSG00000188001,TPRG1
ENSG00000280650,KCNIP4-IT1
