gene_symbol,gene_name
ENSG00000189409,MMP23B
ENSG00000228172,AL020996.1
ENSG00000000938,FGR
ENSG00000163909,HEYL
ENSG00000272931,AC099568.2
ENSG00000143627,PKLR
ENSG00000133063,CHIT1
ENSG00000243244,STON1
ENSG00000155066,PROM2
ENSG00000144214,LYG1
ENSG00000272902,TBC1D8-AS1
ENSG00000115596,WNT6
ENSG00000168356,SCN11A
ENSG00000181617,FDCSP
ENSG00000132465,JCHAIN
ENSG00000284968,AC093827.4
ENSG00000247950,SEC24B-AS1
ENSG00000145349,CAMK2D
ENSG00000251423,AC016576.1
ENSG00000168685,IL7R
ENSG00000271788,AC008875.1
ENSG00000214944,ARHGEF28
ENSG00000124613,ZNF391
ENSG00000196812,ZSCAN16
ENSG00000124664,SPDEF
ENSG00000271761,AL021368.1
ENSG00000164708,PGAM2
ENSG00000273142,AC073335.2
ENSG00000176125,UFSP1
ENSG00000185291,IL3RA
ENSG00000230797,YY2
ENSG00000188211,NCR3LG1
ENSG00000148965,SAA4
ENSG00000166349,RAG1
ENSG00000166927,MS4A7
ENSG00000134627,PIWIL4
ENSG00000230229,AC010163.2
ENSG00000119943,PYROXD2
ENSG00000107593,PKD2L1
ENSG00000228484,AL137025.1
ENSG00000010292,NCAPD2
ENSG00000139055,ERP27
ENSG00000225342,AC079630.1
ENSG00000205592,MUC19
ENSG00000135480,KRT7
ENSG00000228630,HOTAIR
ENSG00000111581,NUP107
ENSG00000257194,AC126178.1
ENSG00000245904,AC025164.1
ENSG00000215271,HOMEZ
ENSG00000269945,AC004817.4
ENSG00000188488,SERPINA5
ENSG00000077238,IL4R
ENSG00000261879,AC087500.1
ENSG00000262873,AC127496.5
ENSG00000079101,CLUL1
ENSG00000273321,AC023983.2
ENSG00000125780,TGM3
ENSG00000274173,AL035661.1
ENSG00000198723,TEX45
ENSG00000189190,ZNF600
ENSG00000243646,IL10RB
ENSG00000276256,AC011043.1
ENSG00000182873,PRKCZ-AS1
ENSG00000231789,PIK3CD-AS2
ENSG00000284657,AL031432.5
ENSG00000159588,CCDC17
ENSG00000237975,FLG-AS1
ENSG00000227591,AL031316.1
ENSG00000234277,LINC01641
ENSG00000237250,AL359924.1
ENSG00000091106,NLRC4
ENSG00000228541,AC093159.1
ENSG00000232788,AC078883.3
ENSG00000236449,AC010894.3
ENSG00000175084,DES
ENSG00000152056,AP1S3
ENSG00000172478,C2orf54
ENSG00000271324,AC112220.3
ENSG00000271653,AC097359.3
ENSG00000249846,LINC02021
ENSG00000181092,ADIPOQ
ENSG00000249241,LINC02265
ENSG00000249599,BMPR1B-DT
ENSG00000189045,ANKDD1B
ENSG00000204963,PCDHA7
ENSG00000271795,AC011337.1
ENSG00000232629,HLA-DQB2
ENSG00000235475,LINC01372
ENSG00000105851,PIK3CG
ENSG00000198759,EGFL6
ENSG00000169906,S100G
ENSG00000253988,AC079015.1
ENSG00000170161,AL512625.1
ENSG00000148346,LCN2
ENSG00000133328,HRASLS2
ENSG00000231680,AP003774.3
ENSG00000149591,TAGLN
ENSG00000134955,SLC37A2
ENSG00000165606,DRGX
ENSG00000272791,AC073389.3
ENSG00000151224,MAT1A
ENSG00000138207,RBP4
ENSG00000276417,AC092111.2
ENSG00000275778,AC018630.2
ENSG00000135451,TROAP
ENSG00000170374,SP7
ENSG00000102837,OLFM4
