gene_symbol,gene_name
ENSG00000169442,CD52
ENSG00000121903,ZSCAN20
ENSG00000237505,PKN2-AS1
ENSG00000277199,LINC01632
ENSG00000237975,FLG-AS1
ENSG00000188931,CFAP126
ENSG00000244414,CFHR1
ENSG00000231200,LINC01830
ENSG00000163121,NEURL3
ENSG00000163126,ANKRD23
ENSG00000125538,IL1B
ENSG00000239474,KLHL41
ENSG00000175084,DES
ENSG00000135898,GPR55
ENSG00000181847,TIGIT
ENSG00000244300,GATA2-AS1
ENSG00000163914,RHO
ENSG00000283175,AC007920.2
ENSG00000157005,SST
ENSG00000121895,TMEM156
ENSG00000181617,FDCSP
ENSG00000260641,AC114811.2
ENSG00000145506,NKD2
ENSG00000164318,EGFLAM
ENSG00000168269,FOXI1
ENSG00000249306,LINC01411
ENSG00000153157,SYCP2L
ENSG00000230873,STMND1
ENSG00000272316,AL021368.2
ENSG00000187772,LIN28B
ENSG00000272398,CD24
ENSG00000164483,SAMD3
ENSG00000118503,TNFAIP3
ENSG00000120278,PLEKHG1
ENSG00000122585,NPY
ENSG00000279078,SND1-IT1
ENSG00000178826,TMEM139
ENSG00000106462,EZH2
ENSG00000168484,SFTPC
ENSG00000168490,PHYHIP
ENSG00000132554,RGS22
ENSG00000226007,BX005266.2
ENSG00000149021,SCGB1A1
ENSG00000133317,LGALS12
ENSG00000172927,MYEOV
ENSG00000166002,SMCO4
ENSG00000255384,AP001267.2
ENSG00000120471,TP53AIP1
ENSG00000238117,AP000844.2
ENSG00000232638,AL390294.1
ENSG00000138131,LOXL4
ENSG00000276900,AC023157.3
ENSG00000198353,HOXC4
ENSG00000173598,NUDT4
ENSG00000166046,TCP11L2
ENSG00000257595,LINC02356
ENSG00000274029,AC069209.1
ENSG00000253710,ALG11
ENSG00000272515,AL355578.1
ENSG00000057593,F7
ENSG00000151338,MIPOL1
ENSG00000198732,SMOC1
ENSG00000258813,AL442663.3
ENSG00000104147,OIP5
ENSG00000186628,FSD2
ENSG00000197253,TPSB2
ENSG00000257527,AC126755.3
ENSG00000166501,PRKCB
ENSG00000197162,ZNF785
