gene_symbol,gene_name
ENSG00000186056,MATN1-AS1
ENSG00000142945,KIF2C
ENSG00000162407,PLPP3
ENSG00000162669,HFM1
ENSG00000116824,CD2
ENSG00000085552,IGSF9
ENSG00000162746,FCRLB
ENSG00000143845,ETNK2
ENSG00000162814,SPATA17
ENSG00000238005,AL391832.2
ENSG00000231200,LINC01830
ENSG00000170634,ACYP2
ENSG00000163017,ACTG2
ENSG00000163541,SUCLG1
ENSG00000144161,ZC3H8
ENSG00000171227,TMEM37
ENSG00000144230,GPR17
ENSG00000118231,CRYGD
ENSG00000081052,COL4A4
ENSG00000172478,C2orf54
ENSG00000160791,CCR5
ENSG00000229453,SPINK8
ENSG00000179097,HTR1F
ENSG00000196776,CD47
ENSG00000158163,DZIP1L
ENSG00000185798,WDR53
ENSG00000152953,STK32B
ENSG00000170801,HTRA3
ENSG00000157765,SLC34A2
ENSG00000269921,AC068620.1
ENSG00000181617,FDCSP
ENSG00000178403,NEUROG2
ENSG00000137463,MGARP
ENSG00000168685,IL7R
ENSG00000164251,F2RL1
ENSG00000125347,IRF1
ENSG00000069011,PITX1
ENSG00000113739,STC2
ENSG00000196735,HLA-DQA1
ENSG00000137269,LRRC1
ENSG00000271761,AL021368.1
ENSG00000146285,SCML4
ENSG00000223537,AL109947.1
ENSG00000186439,TRDN
ENSG00000118513,MYB
ENSG00000164488,DACT2
ENSG00000122585,NPY
ENSG00000106367,AP1S1
ENSG00000128596,CCDC136
ENSG00000236279,CLEC2L
ENSG00000196468,FGF16
ENSG00000272267,AC021242.3
ENSG00000245281,AC124242.1
ENSG00000120907,ADRA1A
ENSG00000120885,CLU
ENSG00000271167,LINC01109
ENSG00000226007,BX005266.2
ENSG00000198785,GRIN3A
ENSG00000136944,LMX1B
ENSG00000124915,DKFZP434K028
ENSG00000149021,SCGB1A1
ENSG00000175463,TBC1D10C
ENSG00000110195,FOLR1
ENSG00000110777,POU2AF1
ENSG00000149573,MPZL2
ENSG00000232807,AL137186.2
ENSG00000281186,AL590637.1
ENSG00000225778,PROSER2-AS1
ENSG00000122873,CISD1
ENSG00000244733,AL132656.2
ENSG00000241935,HOGA1
ENSG00000107831,FGF8
ENSG00000111796,KLRB1
ENSG00000276261,AC009509.4
ENSG00000135451,TROAP
ENSG00000172551,MUCL1
ENSG00000102743,SLC25A15
ENSG00000136352,NKX2-1
ENSG00000269883,AC007375.3
ENSG00000236914,LINC01852
ENSG00000074803,SLC12A1
ENSG00000159556,ISL2
ENSG00000258010,AC016705.1
ENSG00000156206,CFAP161
ENSG00000278662,GOLGA6L10
ENSG00000259462,CPEB1-AS1
ENSG00000140527,WDR93
ENSG00000254206,NPIPB11
ENSG00000140798,ABCC12
ENSG00000070729,CNGB1
ENSG00000188038,NRN1L
ENSG00000129214,SHBG
ENSG00000256618,MTRNR2L1
ENSG00000108691,CCL2
ENSG00000161649,CD300LG
ENSG00000167281,RBFOX3
ENSG00000277235,AL035420.3
ENSG00000188000,OR7D2
ENSG00000099331,MYO9B
ENSG00000276846,AC016590.3
ENSG00000267470,ZNF571-AS1
ENSG00000167757,KLK11
ENSG00000189068,VSTM1
ENSG00000167618,LAIR2
ENSG00000260924,LINC01311
ENSG00000273044,AL022334.2
ENSG00000159256,MORC3
ENSG00000273796,BX322562.1
ENSG00000182866,LCK
ENSG00000211592,IGKC
ENSG00000172724,CCL19
ENSG00000244734,HBB
ENSG00000211892,IGHG4
ENSG00000211895,IGHA1
ENSG00000211896,IGHG1
ENSG00000211897,IGHG3
ENSG00000211677,IGLC2
ENSG00000211679,IGLC3
ENSG00000154027,AK5
ENSG00000143013,LMO4
ENSG00000143153,ATP1B1
ENSG00000123689,G0S2
ENSG00000143499,SMYD2
ENSG00000163032,VSNL1
ENSG00000115310,RTN4
ENSG00000014641,MDH1
ENSG00000175874,CREG2
ENSG00000177519,RPRM
ENSG00000128656,CHN1
ENSG00000154518,ATP5MC3
ENSG00000174748,RPL15
ENSG00000187094,CCK
ENSG00000163630,SYNPR
ENSG00000144834,TAGLN3
ENSG00000172020,GAP43
ENSG00000132465,JCHAIN
ENSG00000152583,SPARCL1
ENSG00000019582,CD74
ENSG00000145920,CPLX2
ENSG00000074317,SNCB
ENSG00000124785,NRN1
ENSG00000206503,HLA-A
ENSG00000106541,AGR2
ENSG00000135218,CD36
ENSG00000159763,PIP
ENSG00000205542,TMSB4X
ENSG00000102109,PCSK1N
ENSG00000102003,SYP
ENSG00000166681,BEX3
ENSG00000175445,LPL
ENSG00000170323,FABP4
ENSG00000164919,COX6C
ENSG00000164924,YWHAZ
ENSG00000130558,OLFM1
ENSG00000255823,MTRNR2L8
ENSG00000134339,SAA2
ENSG00000173432,SAA1
ENSG00000124935,SCGB1D2
ENSG00000110484,SCGB2A2
ENSG00000170290,SLN
ENSG00000154096,THY1
ENSG00000173267,SNCG
ENSG00000111341,MGP
ENSG00000111057,KRT18
ENSG00000070961,ATP2B1
ENSG00000224982,TMEM233
ENSG00000139970,RTN1
ENSG00000214548,MEG3
ENSG00000211890,IGHA2
ENSG00000211899,IGHM
ENSG00000188536,HBA2
ENSG00000206172,HBA1
ENSG00000103316,CRYM
ENSG00000170315,UBB
ENSG00000171346,KRT15
ENSG00000171345,KRT19
ENSG00000108821,COL1A1
ENSG00000088832,FKBP1A
ENSG00000087460,GNAS
ENSG00000104904,OAZ1
ENSG00000105696,TMEM59L
ENSG00000105220,GPI
ENSG00000255974,CYP2A6
ENSG00000100219,XBP1
ENSG00000100285,NEFH
ENSG00000128245,YWHAH
ENSG00000160180,TFF3
ENSG00000198938,MT-CO3
ENSG00000187608,ISG15
ENSG00000078369,GNB1
ENSG00000187730,GABRD
ENSG00000067606,PRKCZ
ENSG00000116251,RPL22
ENSG00000097021,ACOT7
ENSG00000074800,ENO1
ENSG00000171603,CLSTN1
ENSG00000142634,EFHD2
ENSG00000117154,IGSF21
ENSG00000173436,MINOS1
ENSG00000162545,CAMK2N1
ENSG00000158828,PINK1
ENSG00000117245,KIF17
ENSG00000076864,RAP1GAP
ENSG00000117632,STMN1
ENSG00000142669,SH3BGRL3
ENSG00000198830,HMGN2
ENSG00000130770,ATP5IF1
ENSG00000121753,ADGRB2
ENSG00000121905,HPCA
ENSG00000020129,NCDN
ENSG00000168653,NDUFS5
ENSG00000142937,RPS8
ENSG00000117450,PRDX1
ENSG00000173660,UQCRH
ENSG00000186160,CYP4Z1
ENSG00000162374,ELAVL4
ENSG00000123091,RNF11
ENSG00000085832,EPS15
ENSG00000157216,SSBP3
ENSG00000116133,DHCR24
ENSG00000116675,DNAJC6
ENSG00000142875,PRKACB
ENSG00000122406,RPL5
ENSG00000117600,PLPPR4
ENSG00000162631,NTNG1
ENSG00000221986,MYBPHL
ENSG00000163399,ATP1A1
ENSG00000159164,SV2A
ENSG00000213190,MLLT11
ENSG00000163191,S100A11
ENSG00000189171,S100A13
ENSG00000143578,CREB3L4
ENSG00000169242,EFNA1
ENSG00000185499,MUC1
ENSG00000132718,SYT11
ENSG00000143320,CRABP2
ENSG00000162734,PEA15
ENSG00000162747,FCGR3B
ENSG00000162745,OLFML2B
ENSG00000117152,RGS4
ENSG00000143198,MGST3
ENSG00000118194,TNNT2
ENSG00000117266,CDK18
ENSG00000162891,IL20
ENSG00000143774,GUK1
ENSG00000135750,KCNK1
ENSG00000173726,TOMM20
ENSG00000171863,RPS7
ENSG00000115756,HPCAL1
ENSG00000115194,SLC30A3
ENSG00000183023,SLC8A1
ENSG00000115944,COX7A2L
ENSG00000138078,PREPL
ENSG00000143933,CALM2
ENSG00000143947,RPS27A
ENSG00000119866,BCL11A
ENSG00000169764,UGP2
ENSG00000003137,CYP26B1
ENSG00000204843,DCTN1
ENSG00000186854,TRABD2A
ENSG00000034510,TMSB10
ENSG00000135940,COX5B
ENSG00000196872,KIAA1211L
ENSG00000071082,RPL31
ENSG00000175701,SMIM37
ENSG00000152082,MZT2B
ENSG00000136002,ARHGEF4
ENSG00000115762,PLEKHB2
ENSG00000153234,NR4A2
ENSG00000170035,UBE2E3
ENSG00000115252,PDE1A
ENSG00000168542,COL3A1
ENSG00000204262,COL5A2
ENSG00000115419,GLS
ENSG00000078018,MAP2
ENSG00000115414,FN1
ENSG00000115461,IGFBP5
ENSG00000127824,TUBA4A
ENSG00000054356,PTPRN
ENSG00000116120,FARSB
ENSG00000171951,SCG2
ENSG00000066248,NGEF
ENSG00000115648,MLPH
ENSG00000172428,COPS9
ENSG00000187288,CIDEC
ENSG00000157152,SYN2
ENSG00000144713,RPL32
ENSG00000144711,IQSEC1
ENSG00000182568,SATB1
ENSG00000077092,RARB
ENSG00000172995,ARPP21
ENSG00000168028,RPSA
ENSG00000188846,RPL14
ENSG00000181061,HIGD1A
ENSG00000010256,UQCRC1
ENSG00000164061,BSN
ENSG00000164076,CAMKV
ENSG00000162244,RPL29
ENSG00000153266,FEZF2
ENSG00000269028,MTRNR2L12
ENSG00000114391,RPL24
ENSG00000114573,ATP6V1A
ENSG00000138495,COX17
ENSG00000065518,NDUFB4
ENSG00000121552,CSTA
ENSG00000114631,PODXL2
ENSG00000074416,MGLL
ENSG00000184897,H1FX
ENSG00000196353,CPNE4
ENSG00000154917,RAB6B
ENSG00000158258,CLSTN2
ENSG00000153002,CPB1
ENSG00000070087,PFN2
ENSG00000163536,SERPINI1
ENSG00000121858,TNFSF10
ENSG00000114757,PEX5L
ENSG00000161203,AP2M1
ENSG00000175182,FAM131A
ENSG00000156976,EIF4A2
ENSG00000157005,SST
ENSG00000182899,RPL35A
ENSG00000169020,ATP5ME
ENSG00000168993,CPLX1
ENSG00000163956,LRPAP1
ENSG00000168824,NSG1
ENSG00000163993,S100P
ENSG00000169851,PCDH7
ENSG00000163682,RPL9
ENSG00000154277,UCHL1
ENSG00000124406,ATP8A1
ENSG00000109180,OCIAD1
ENSG00000128045,RASL11B
ENSG00000145242,EPHA5
ENSG00000018189,RUFY3
ENSG00000163631,ALB
ENSG00000169116,PARM1
ENSG00000138755,CXCL9
ENSG00000118816,CCNI
ENSG00000177432,NAP1L5
ENSG00000145335,SNCA
ENSG00000196616,ADH1B
ENSG00000138814,PPP3CA
ENSG00000109475,RPL34
ENSG00000145362,ANK2
ENSG00000145349,CAMK2D
ENSG00000138650,PCDH10
ENSG00000109390,NDUFC1
ENSG00000153130,SCOC
ENSG00000145425,RPS3A
ENSG00000061918,GUCY1B1
ENSG00000052802,MSMO1
ENSG00000109472,CPE
ENSG00000150625,GPM6A
ENSG00000154556,SORBS2
ENSG00000133398,MED10
ENSG00000215218,UBE2QL1
ENSG00000176788,BASP1
ENSG00000133401,PDZD2
ENSG00000113387,SUB1
ENSG00000145592,RPL37
ENSG00000083720,OXCT1
ENSG00000152932,RAB3C
ENSG00000164326,CARTPT
ENSG00000131711,MAP1B
ENSG00000171617,ENC1
ENSG00000186468,RPS23
ENSG00000164176,EDIL3
ENSG00000127184,COX7C
ENSG00000081189,MEF2C
ENSG00000175471,MCTP1
ENSG00000198677,TTC37
ENSG00000175426,PCSK1
ENSG00000198961,PJA2
ENSG00000134986,NREP
ENSG00000129625,REEP5
ENSG00000169567,HINT1
ENSG00000164403,SHROOM1
ENSG00000164405,UQCRQ
ENSG00000271824,SMIM32
ENSG00000152377,SPOCK1
ENSG00000120727,PAIP2
ENSG00000131507,NDFIP1
ENSG00000183775,KCTD16
ENSG00000164587,RPS14
ENSG00000211445,GPX3
ENSG00000197043,ANXA6
ENSG00000055163,CYFIP2
ENSG00000170231,FABP6
