gene_symbol,gene_name
ENSG00000169962,TAS1R3
ENSG00000215915,ATAD3C
ENSG00000116273,PHF13
ENSG00000142627,EPHA2
ENSG00000007968,E2F2
ENSG00000284650,AL031430.1
ENSG00000134690,CDCA8
ENSG00000116985,BMP8B
ENSG00000282057,AC092807.3
ENSG00000143119,CD53
ENSG00000134245,WNT2B
ENSG00000094963,FMO2
ENSG00000133048,CHI3L1
ENSG00000170382,LRRN2
ENSG00000196660,SLC30A10
ENSG00000178295,GEN1
ENSG00000115163,CENPA
ENSG00000018699,TTC27
ENSG00000163121,NEURL3
ENSG00000272902,TBC1D8-AS1
ENSG00000260163,AC012508.1
ENSG00000273073,AC073869.3
ENSG00000271320,AC091488.1
ENSG00000204335,SP5
ENSG00000115844,DLX2
ENSG00000138430,OLA1
ENSG00000144395,CCDC150
ENSG00000135931,ARMC9
ENSG00000249992,TMEM158
ENSG00000144746,ARL6IP5
ENSG00000163914,RHO
ENSG00000196549,MME
ENSG00000243926,TIPARP-AS1
ENSG00000270135,AC078795.3
ENSG00000285218,AC026316.5
ENSG00000114757,PEX5L
ENSG00000113946,CLDN16
ENSG00000272927,AC107464.3
ENSG00000159674,SPON2
ENSG00000248360,LINC00504
ENSG00000181617,FDCSP
ENSG00000156234,CXCL13
ENSG00000197826,CFAP299
ENSG00000151612,ZNF827
ENSG00000261360,AC010491.1
ENSG00000215196,BASP1-AS1
ENSG00000145623,OSMR
ENSG00000112936,C7
ENSG00000155542,SETD9
ENSG00000134056,MRPS36
ENSG00000205571,SMN2
ENSG00000122012,SV2C
ENSG00000249082,C5orf66-AS1
ENSG00000170476,MZB1
ENSG00000254035,AC104117.3
ENSG00000182952,HMGN4
ENSG00000137338,PGBD1
ENSG00000124496,TRERF1
ENSG00000135334,AKIRIN2
ENSG00000229618,AC011287.1
ENSG00000105928,GSDME
ENSG00000176532,PRR15
ENSG00000285437,POLR2J3
ENSG00000188707,ZBED6CL
ENSG00000106538,RARRES2
ENSG00000169906,S100G
ENSG00000065923,SLC9A7
ENSG00000243279,PRAF2
ENSG00000281852,LINC00891
ENSG00000147145,LPAR4
ENSG00000077279,DCX
ENSG00000179542,SLITRK4
ENSG00000182366,FAM87A
ENSG00000245281,AC124242.1
ENSG00000159167,STC1
ENSG00000272375,AC026979.3
ENSG00000104388,RAB2A
ENSG00000235531,MSC-AS1
ENSG00000104369,JPH1
ENSG00000253282,AP001330.1
ENSG00000064313,TAF2
ENSG00000182307,C8orf33
ENSG00000172724,CCL19
ENSG00000160408,ST6GALNAC6
ENSG00000148346,LCN2
ENSG00000180539,C9orf139
ENSG00000130595,TNNT3
ENSG00000149021,SCGB1A1
ENSG00000137673,MMP7
ENSG00000137727,ARHGAP20
ENSG00000187134,AKR1C1
ENSG00000178363,CALML3
ENSG00000263639,MSMB
ENSG00000107831,FGF8
ENSG00000247498,GPRC5D-AS1
ENSG00000255621,AC023790.2
ENSG00000134531,EMP1
ENSG00000139144,PIK3C2G
ENSG00000228630,HOTAIR
ENSG00000270344,POC1B-AS1
ENSG00000186710,CFAP73
ENSG00000274029,AC069209.1
ENSG00000122035,RASL11A
ENSG00000080166,DCT
ENSG00000258548,LINC00645
ENSG00000126778,SIX1
ENSG00000140368,PSTPIP1
ENSG00000166426,CRABP1
ENSG00000172236,TPSAB1
ENSG00000243716,NPIPB5
ENSG00000274653,AC106782.6
ENSG00000274678,AC106886.3
ENSG00000237172,B3GNT9
ENSG00000260577,AC126773.2
ENSG00000140995,DEF8
ENSG00000169992,NLGN2
