gene_id,gene_name
ENSG00000169885,CALML6
ENSG00000284652,BX323043.1
ENSG00000116771,AGMAT
ENSG00000127483,HP1BP3
ENSG00000125944,HNRNPR
ENSG00000090020,SLC9A1
ENSG00000196449,YRDC
ENSG00000256407,AL357673.1
ENSG00000272931,AC099568.2
ENSG00000231365,AL359915.2
ENSG00000143627,PKLR
ENSG00000158882,TOMM40L
ENSG00000162747,FCGR3B
ENSG00000143858,SYT2
ENSG00000225518,LINC01703
ENSG00000237250,AL359924.1
ENSG00000271787,AC104794.4
ENSG00000214842,RAD51AP2
ENSG00000144214,LYG1
ENSG00000198648,STK39
ENSG00000232788,AC078883.3
ENSG00000236449,AC010894.3
ENSG00000115596,WNT6
ENSG00000115657,ABCB6
ENSG00000153560,UBP1
ENSG00000163634,THOC7
ENSG00000249846,LINC02021
ENSG00000163710,PCOLCE2
ENSG00000233885,YEATS2-AS1
ENSG00000145217,SLC26A1
ENSG00000170801,HTRA3
ENSG00000174123,TLR10
ENSG00000181617,FDCSP
ENSG00000196159,FAT4
ENSG00000164040,PGRMC2
ENSG00000171566,PLRG1
ENSG00000164106,SCRG1
ENSG00000168685,IL7R
ENSG00000271788,AC008875.1
ENSG00000134061,CD180
ENSG00000183474,GTF2H2C
ENSG00000245146,MALINC1
ENSG00000135077,HAVCR2
ENSG00000113240,CLK4
ENSG00000272540,AL662797.1
ENSG00000266680,AL135905.1
ENSG00000146360,GPR6
ENSG00000272356,AL080317.3
ENSG00000111907,TPD52L1
ENSG00000223561,AC005165.1
ENSG00000146678,IGFBP1
ENSG00000106367,AP1S1
ENSG00000273219,AC091736.1
ENSG00000133606,MKRN1
ENSG00000147246,HTR2C
ENSG00000179542,SLITRK4
ENSG00000184343,SRPK3
ENSG00000147571,CRH
ENSG00000233554,B4GALT1-AS1
ENSG00000215183,MSMP
ENSG00000270332,SMC2-AS1
ENSG00000181634,TNFSF15
ENSG00000224842,AL161908.1
ENSG00000148965,SAA4
ENSG00000166349,RAG1
ENSG00000254452,AP001107.2
ENSG00000120471,TP53AIP1
ENSG00000263639,MSMB
ENSG00000272631,AC067750.1
ENSG00000107593,PKD2L1
ENSG00000075891,PAX2
ENSG00000257084,MIR200CHG
ENSG00000276842,AC023510.2
ENSG00000225342,AC079630.1
ENSG00000172551,MUCL1
ENSG00000257194,AC126178.1
ENSG00000248636,AC002070.1
ENSG00000133106,EPSTI1
ENSG00000233725,LINC00284
ENSG00000278445,AL137246.2
ENSG00000138615,CILP
ENSG00000246877,DNM1P35
ENSG00000117906,RCN2
ENSG00000259527,LINC00052
ENSG00000206172,HBA1
ENSG00000261759,AC099518.5
ENSG00000260905,AC009021.1
ENSG00000070729,CNGB1
ENSG00000264019,AC018521.2
ENSG00000121101,TEX14
ENSG00000271605,MILR1
ENSG00000278740,AC005332.8
ENSG00000267653,AC002546.1
ENSG00000182534,MXRA7
ENSG00000185813,PCYT2
ENSG00000141448,GATA6
ENSG00000273321,AC023983.2
ENSG00000278075,AC114341.1
ENSG00000125780,TGM3
ENSG00000149451,ADAM33
ENSG00000105376,ICAM5
ENSG00000132016,C19orf57
ENSG00000105679,GAPDHS
ENSG00000099341,PSMD8
ENSG00000262484,CCER2
ENSG00000142233,NTN5
ENSG00000276449,AC004076.2
ENSG00000165246,NLGN4Y
ENSG00000099974,DDTL
ENSG00000236272,Z82214.2
ENSG00000075275,CELSR1
ENSG00000275993,SIK1B
ENSG00000230323,LINC00159
ENSG00000183844,FAM3B
ENSG00000166035,LIPC
ENSG00000211592,IGKC
ENSG00000122585,NPY
ENSG00000244734,HBB
ENSG00000211892,IGHG4
ENSG00000211897,IGHG3
ENSG00000211677,IGLC2
ENSG00000117632,STMN1
ENSG00000143153,ATP1B1
ENSG00000123689,G0S2
ENSG00000143933,CALM2
ENSG00000135636,DYSF
ENSG00000034510,TMSB10
ENSG00000115648,MLPH
ENSG00000187094,CCK
ENSG00000153002,CPB1
ENSG00000132465,JCHAIN
ENSG00000152583,SPARCL1
ENSG00000196616,ADH1B
ENSG00000164326,CARTPT
ENSG00000211445,GPX3
ENSG00000204525,HLA-C
ENSG00000234745,HLA-B
ENSG00000173467,AGR3
ENSG00000159763,PIP
ENSG00000175445,LPL
ENSG00000104722,NEFM
ENSG00000120885,CLU
ENSG00000170323,FABP4
ENSG00000164919,COX6C
ENSG00000134339,SAA2
ENSG00000173432,SAA1
ENSG00000124939,SCGB2A1
ENSG00000124935,SCGB1D2
ENSG00000110484,SCGB2A2
ENSG00000173267,SNCG
ENSG00000138207,RBP4
ENSG00000139190,VAMP1
ENSG00000111341,MGP
ENSG00000111057,KRT18
ENSG00000070961,ATP2B1
ENSG00000211890,IGHA2
ENSG00000211895,IGHA1
ENSG00000211896,IGHG1
ENSG00000188536,HBA2
ENSG00000133392,MYH11
ENSG00000103316,CRYM
ENSG00000171346,KRT15
ENSG00000141433,ADCYAP1
ENSG00000101335,MYL9
ENSG00000197766,CFD
ENSG00000100285,NEFH
ENSG00000100362,PVALB
ENSG00000100097,LGALS1
ENSG00000183036,PCP4
ENSG00000160180,TFF3
ENSG00000160182,TFF1
ENSG00000187608,ISG15
ENSG00000187730,GABRD
ENSG00000097021,ACOT7
ENSG00000171603,CLSTN1
ENSG00000142634,EFHD2
ENSG00000117154,IGSF21
ENSG00000162545,CAMK2N1
ENSG00000117643,MAN1C1
ENSG00000162511,LAPTM5
ENSG00000121753,ADGRB2
ENSG00000175130,MARCKSL1
ENSG00000020129,NCDN
ENSG00000142949,PTPRF
ENSG00000142937,RPS8
ENSG00000173660,UQCRH
ENSG00000154027,AK5
ENSG00000117155,SSX2IP
ENSG00000143013,LMO4
ENSG00000189195,BTBD8
ENSG00000117600,PLPPR4
ENSG00000162631,NTNG1
ENSG00000031698,SARS
ENSG00000163399,ATP1A1
ENSG00000143420,ENSA
ENSG00000163191,S100A11
ENSG00000143578,CREB3L4
ENSG00000169242,EFNA1
ENSG00000185499,MUC1
ENSG00000132718,SYT11
ENSG00000143320,CRABP2
ENSG00000162729,IGSF8
ENSG00000162734,PEA15
ENSG00000248485,PCP4L1
ENSG00000162745,OLFML2B
ENSG00000117152,RGS4
ENSG00000143198,MGST3
ENSG00000075945,KIFAP3
ENSG00000135821,GLUL
ENSG00000157064,NMNAT2
ENSG00000198756,COLGALT2
ENSG00000174514,MFSD4A
ENSG00000196352,CD55
ENSG00000143499,SMYD2
ENSG00000162817,C1orf115
ENSG00000143772,ITPKB
ENSG00000168159,RNF187
ENSG00000135744,AGT
ENSG00000179456,ZBTB18
ENSG00000115756,HPCAL1
ENSG00000162981,FAM84A
ENSG00000163032,VSNL1
ENSG00000115194,SLC30A3
ENSG00000243147,MRPL33
ENSG00000138078,PREPL
ENSG00000179915,NRXN1
ENSG00000115310,RTN4
ENSG00000143947,RPS27A
ENSG00000186854,TRABD2A
ENSG00000118640,VAMP8
ENSG00000135940,COX5B
ENSG00000040933,INPP4A
ENSG00000196872,KIAA1211L
ENSG00000175874,CREG2
ENSG00000144152,FBLN7
ENSG00000048991,R3HDM1
ENSG00000177519,RPRM
ENSG00000153234,NR4A2
ENSG00000136535,TBR1
ENSG00000144290,SLC4A10
ENSG00000136531,SCN2A
ENSG00000128683,GAD1
ENSG00000128656,CHN1
ENSG00000224189,HAGLR
ENSG00000116044,NFE2L2
ENSG00000168542,COL3A1
ENSG00000204262,COL5A2
ENSG00000196950,SLC39A10
ENSG00000238217,LINC01877
ENSG00000114948,ADAM23
ENSG00000188674,C2orf80
ENSG00000078018,MAP2
ENSG00000115414,FN1
ENSG00000197756,RPL37A
ENSG00000115461,IGFBP5
ENSG00000127824,TUBA4A
ENSG00000175084,DES
ENSG00000116106,EPHA4
ENSG00000171951,SCG2
ENSG00000135919,SERPINE2
ENSG00000135916,ITM2C
ENSG00000066248,NGEF
ENSG00000134121,CHL1
ENSG00000150995,ITPR1
ENSG00000187288,CIDEC
ENSG00000157087,ATP2B2
ENSG00000157152,SYN2
ENSG00000144711,IQSEC1
ENSG00000172995,ARPP21
ENSG00000010256,UQCRC1
ENSG00000164061,BSN
ENSG00000164076,CAMKV
ENSG00000153266,FEZF2
ENSG00000163630,SYNPR
ENSG00000172020,GAP43
ENSG00000160145,KALRN
ENSG00000074416,MGLL
ENSG00000091513,TF
ENSG00000158258,CLSTN2
ENSG00000070087,PFN2
ENSG00000121858,TNFSF10
ENSG00000175182,FAM131A
ENSG00000181092,ADIPOQ
ENSG00000157005,SST
ENSG00000189058,APOD
ENSG00000185818,NAT8L
ENSG00000159788,RGS12
ENSG00000179010,MRFAP1
ENSG00000163993,S100P
ENSG00000185774,KCNIP4
ENSG00000064042,LIMCH1
ENSG00000109180,OCIAD1
ENSG00000171476,HOPX
ENSG00000163453,IGFBP7
ENSG00000163631,ALB
ENSG00000169116,PARM1
ENSG00000169245,CXCL10
ENSG00000145335,SNCA
ENSG00000138814,PPP3CA
ENSG00000145349,CAMK2D
ENSG00000138650,PCDH10
ENSG00000183090,FREM3
ENSG00000120251,GRIA2
ENSG00000171509,RXFP1
ENSG00000109472,CPE
ENSG00000145451,GLRA3
