gene_id,gene_name
ENSG00000241563,CORT
ENSG00000117148,ACTL8
ENSG00000182749,PAQR7
ENSG00000142669,SH3BGRL3
ENSG00000134709,HOOK1
ENSG00000142871,CYR61
ENSG00000121851,POLR3GL
ENSG00000196154,S100A4
ENSG00000231767,AL136454.1
ENSG00000081237,PTPRC
ENSG00000081248,CACNA1S
ENSG00000133048,CHI3L1
ENSG00000276600,RAB7B
ENSG00000162913,OBSCN-AS1
ENSG00000236790,LINC00299
ENSG00000163806,SPDYA
ENSG00000170577,SIX2
ENSG00000163017,ACTG2
ENSG00000179528,LBX2
ENSG00000128652,HOXD3
ENSG00000163492,CCDC141
ENSG00000182187,CRYGB
ENSG00000115457,IGFBP2
ENSG00000115009,CCL20
ENSG00000144481,TRPM8
ENSG00000206567,AC022007.1
ENSG00000163508,EOMES
ENSG00000270194,AC097359.2
ENSG00000271858,CYB561D2
ENSG00000168306,ACOX2
ENSG00000185008,ROBO2
ENSG00000153283,CD96
ENSG00000248468,AC107027.1
ENSG00000272832,AC022296.3
ENSG00000163710,PCOLCE2
ENSG00000114805,PLCH1
ENSG00000090534,THPO
ENSG00000127419,TMEM175
ENSG00000261121,LINC02473
ENSG00000126545,CSN1S1
ENSG00000269559,AC093677.2
ENSG00000152595,MEPE
ENSG00000272416,AC025175.1
ENSG00000183323,CCDC125
ENSG00000122012,SV2C
ENSG00000175471,MCTP1
ENSG00000134982,APC
ENSG00000248559,AC109454.2
ENSG00000271824,SMIM32
ENSG00000170476,MZB1
ENSG00000094755,GABRP
ENSG00000204625,HCG9
ENSG00000196735,HLA-DQA1
ENSG00000124772,CPNE5
ENSG00000243955,GSTA1
ENSG00000173214,MFSD4B
ENSG00000231023,LINC00326
ENSG00000232640,AL354892.2
ENSG00000272968,RBAK-RBAKDN
ENSG00000136247,ZDHHC4
ENSG00000146530,VWDE
ENSG00000136261,BZW2
ENSG00000132437,DDC
ENSG00000261462,AC004023.1
ENSG00000272854,AC004839.1
ENSG00000214128,TMEM213
ENSG00000273011,AC092681.3
ENSG00000102048,ASB9
ENSG00000123562,MORF4L2
ENSG00000180190,TDRP
ENSG00000168476,REEP4
ENSG00000147536,GINS4
ENSG00000253596,AC103952.1
ENSG00000164749,HNF4G
ENSG00000253854,AC010834.3
ENSG00000154188,ANGPT1
ENSG00000182759,MAFA
ENSG00000184995,IFNE
ENSG00000204711,C9orf135
ENSG00000136943,CTSV
ENSG00000228544,CCDC183-AS1
ENSG00000135373,EHF
ENSG00000134571,MYBPC3
ENSG00000269176,AP001160.3
ENSG00000241233,KRTAP5-8
ENSG00000149380,P4HA3
ENSG00000167286,CD3D
ENSG00000077943,ITGA8
ENSG00000165443,PHYHIPL
ENSG00000226426,AC012558.1
ENSG00000228570,NUTM2E
ENSG00000148702,HABP2
ENSG00000185479,KRT6B
ENSG00000127324,TSPAN8
ENSG00000074527,NTN4
ENSG00000166046,TCP11L2
ENSG00000135114,OASL
ENSG00000151773,CCDC122
ENSG00000198542,ITGBL1
ENSG00000204442,FAM155A
ENSG00000136327,NKX2-8
ENSG00000139915,MDGA2
ENSG00000277865,GOLGA6L22
ENSG00000259721,AC090877.2
ENSG00000157456,CCNB2
ENSG00000117906,RCN2
ENSG00000259895,AC106820.2
ENSG00000260306,AC092375.2
ENSG00000102879,CORO1A
ENSG00000103067,ESRP2
ENSG00000247324,AC010547.1
ENSG00000260259,LINC02166
ENSG00000072778,ACADVL
ENSG00000179593,ALOX15B
ENSG00000276231,PIK3R6
ENSG00000065325,GLP2R
ENSG00000262681,AC005722.2
ENSG00000007171,NOS2
ENSG00000277972,CISD3
ENSG00000167941,SOST
ENSG00000261514,LINC01976
ENSG00000091947,TMEM101
ENSG00000178852,EFCAB13
ENSG00000264019,AC018521.2
ENSG00000228639,ROCR
ENSG00000264272,AC100786.2
ENSG00000264235,AP005329.1
ENSG00000230506,AL354824.1
ENSG00000101440,ASIP
ENSG00000130173,ANGPTL8
ENSG00000128016,ZFP36
ENSG00000225877,PSG8-AS1
ENSG00000105507,CABP5
ENSG00000275055,AC011468.5
ENSG00000177663,IL17RA
ENSG00000100292,HMOX1
ENSG00000184068,AL021453.1
ENSG00000154734,ADAMTS1
ENSG00000198862,LTN1
ENSG00000156284,CLDN8
ENSG00000274248,AJ011932.1
ENSG00000117322,CR2
ENSG00000156234,CXCL13
ENSG00000122585,NPY
ENSG00000211592,IGKC
ENSG00000181617,FDCSP
ENSG00000132465,JCHAIN
ENSG00000172724,CCL19
ENSG00000244734,HBB
ENSG00000173432,SAA1
ENSG00000156738,MS4A1
ENSG00000110484,SCGB2A2
ENSG00000111341,MGP
ENSG00000172551,MUCL1
ENSG00000211890,IGHA2
ENSG00000211892,IGHG4
ENSG00000211895,IGHA1
ENSG00000211896,IGHG1
ENSG00000211897,IGHG3
ENSG00000188536,HBA2
ENSG00000206172,HBA1
ENSG00000211677,IGLC2
ENSG00000211679,IGLC3
ENSG00000169442,CD52
ENSG00000121905,HPCA
ENSG00000186160,CYP4Z1
ENSG00000163191,S100A11
ENSG00000143578,CREB3L4
ENSG00000185499,MUC1
ENSG00000143320,CRABP2
ENSG00000248485,PCP4L1
ENSG00000123689,G0S2
ENSG00000115310,RTN4
ENSG00000186854,TRABD2A
ENSG00000034510,TMSB10
ENSG00000115461,IGFBP5
ENSG00000134121,CHL1
ENSG00000187288,CIDEC
ENSG00000012223,LTF
ENSG00000153266,FEZF2
ENSG00000269028,MTRNR2L12
ENSG00000121552,CSTA
ENSG00000153002,CPB1
ENSG00000121858,TNFSF10
ENSG00000175182,FAM131A
ENSG00000157005,SST
ENSG00000163993,S100P
ENSG00000163631,ALB
ENSG00000164326,CARTPT
ENSG00000164403,SHROOM1
ENSG00000145824,CXCL14
ENSG00000019582,CD74
ENSG00000211445,GPX3
ENSG00000112186,CAP2
ENSG00000206503,HLA-A
ENSG00000137331,IER3
ENSG00000204525,HLA-C
ENSG00000234745,HLA-B
ENSG00000204287,HLA-DRA
ENSG00000135346,CGA
ENSG00000118432,CNR1
ENSG00000106541,AGR2
ENSG00000135218,CD36
ENSG00000160862,AZGP1
ENSG00000159763,PIP
ENSG00000169906,S100G
ENSG00000102226,USP11
ENSG00000281508,AL078639.1
ENSG00000175445,LPL
ENSG00000104722,NEFM
ENSG00000156675,RAB11FIP1
ENSG00000170323,FABP4
ENSG00000123119,NECAB1
ENSG00000164919,COX6C
ENSG00000117984,CTSD
ENSG00000134339,SAA2
ENSG00000124935,SCGB1D2
ENSG00000149021,SCGB1A1
ENSG00000110092,CCND1
ENSG00000107485,GATA3
ENSG00000095739,BAMBI
ENSG00000170324,FRMPD2
ENSG00000148671,ADIRF
ENSG00000139190,VAMP1
ENSG00000170421,KRT8
ENSG00000111057,KRT18
ENSG00000090382,LYZ
ENSG00000165949,IFI27
ENSG00000211899,IGHM
ENSG00000166710,B2M
ENSG00000166819,PLIN1
ENSG00000186260,MKL2
ENSG00000133392,MYH11
ENSG00000176046,NUPR1
