gene_id,gene_name
ENSG00000215014,AL645728.1
ENSG00000259961,AL354712.1
ENSG00000185436,IFNLR1
ENSG00000272864,AC135803.1
ENSG00000131781,FMO5
ENSG00000163354,DCST2
ENSG00000143178,TBX19
ENSG00000143858,SYT2
ENSG00000271855,AC073195.1
ENSG00000222014,RAB6C
ENSG00000075884,ARHGAP15
ENSG00000152056,AP1S3
ENSG00000063660,GPC1
ENSG00000178750,STX19
ENSG00000153404,PLEKHG4B
ENSG00000271824,SMIM32
ENSG00000094755,GABRP
ENSG00000204625,HCG9
ENSG00000243955,GSTA1
ENSG00000231023,LINC00326
ENSG00000146530,VWDE
ENSG00000106511,MEOX2
ENSG00000122585,NPY
ENSG00000106299,WASL
ENSG00000218672,AC008060.1
ENSG00000226179,LINC00685
ENSG00000134020,PEBP4
ENSG00000204175,GPRIN2
ENSG00000185303,SFTPA2
ENSG00000075891,PAX2
ENSG00000165650,PDZD8
ENSG00000274560,AC010205.1
ENSG00000134899,ERCC5
ENSG00000166183,ASPG
ENSG00000170779,CDCA4
ENSG00000166262,FAM227B
ENSG00000172349,IL16
ENSG00000262621,AC025283.2
ENSG00000262468,LINC01569
ENSG00000177238,TRIM72
ENSG00000188038,NRN1L
ENSG00000171724,VAT1L
ENSG00000179593,ALOX15B
ENSG00000204815,TTC25
ENSG00000167941,SOST
ENSG00000178852,EFCAB13
ENSG00000136449,MYCBPAP
ENSG00000265206,AC004687.1
ENSG00000228639,ROCR
ENSG00000129654,FOXJ1
ENSG00000276863,AC124319.3
ENSG00000261924,AC127496.1
ENSG00000262873,AC127496.5
ENSG00000263063,AC024361.2
ENSG00000124205,EDN3
ENSG00000213638,ADAT3
ENSG00000178297,TMPRSS9
ENSG00000187474,FPR3
ENSG00000180257,ZNF816
ENSG00000130433,CACNG6
ENSG00000269873,AC245884.10
ENSG00000268292,AC006547.3
ENSG00000186575,NF2
ENSG00000284633,AL031590.1
ENSG00000237436,CAMTA1-DT
ENSG00000134668,SPOCD1
ENSG00000186603,HPDL
ENSG00000057468,MSH4
ENSG00000227741,AL121987.2
ENSG00000231767,AL136454.1
ENSG00000117322,CR2
