gene_id,gene_name
ENSG00000263956,NBPF11
ENSG00000066294,CD84
ENSG00000244414,CFHR1
ENSG00000260805,AC092803.2
ENSG00000162959,MEMO1
ENSG00000115718,PROC
ENSG00000175084,DES
ENSG00000079257,LXN
ENSG00000157005,SST
ENSG00000181617,FDCSP
ENSG00000171444,MCC
ENSG00000124493,GRM4
ENSG00000272102,AL133406.3
ENSG00000128604,IRF5
ENSG00000196664,TLR7
ENSG00000198157,HMGN5
ENSG00000172728,FUT10
ENSG00000171316,CHD7
ENSG00000259891,AC107375.1
ENSG00000196152,ZNF79
ENSG00000185522,LMNTD2
ENSG00000254815,AP006284.1
ENSG00000149021,SCGB1A1
ENSG00000132749,TESMIN
ENSG00000166348,USP54
ENSG00000139194,RBP5
ENSG00000247157,LINC01252
ENSG00000205426,KRT81
ENSG00000139220,PPFIA2
ENSG00000013503,POLR3B
ENSG00000180730,SHISA2
ENSG00000129566,TEP1
ENSG00000139970,RTN1
ENSG00000185634,SHC4
ENSG00000167178,ISLR2
ENSG00000158865,SLC5A11
ENSG00000067955,CBFB
ENSG00000131143,COX4I1
ENSG00000167880,EVPL
ENSG00000227115,LINC01630
ENSG00000101049,SGK2
ENSG00000101197,BIRC7
ENSG00000213889,PPM1N
ENSG00000105483,CARD8
ENSG00000100285,NEFH
ENSG00000239713,APOBEC3G
ENSG00000184068,AL021453.1
ENSG00000260583,AP000223.1
ENSG00000154736,ADAMTS5
ENSG00000205927,OLIG2
ENSG00000228172,AL020996.1
ENSG00000176083,ZNF683
ENSG00000197056,ZMYM1
ENSG00000236200,KDM4A-AS1
ENSG00000006555,TTC22
ENSG00000271576,AL359504.2
ENSG00000232825,AL445433.2
ENSG00000118729,CASQ2
ENSG00000116824,CD2
ENSG00000269621,AL589765.7
ENSG00000188931,CFAP126
ENSG00000058085,LAMC2
ENSG00000163545,NUAK2
ENSG00000232480,TGFB2-AS1
ENSG00000187554,TLR5
ENSG00000272195,AL356512.1
ENSG00000271855,AC073195.1
ENSG00000162882,HAAO
ENSG00000003436,TFPI
ENSG00000003400,CASP10
ENSG00000273456,AC064836.3
ENSG00000144410,CPO
ENSG00000115556,PLCD4
ENSG00000135898,GPR55
ENSG00000171551,ECEL1
ENSG00000183873,SCN5A
ENSG00000225697,SLC26A6
ENSG00000163507,CIP2A
ENSG00000174963,ZIC4
ENSG00000163661,PTX3
ENSG00000178343,SHISA3
ENSG00000132465,JCHAIN
ENSG00000246375,AC107067.1
ENSG00000260651,AF213884.3
ENSG00000112936,C7
ENSG00000272416,AC025175.1
ENSG00000164283,ESM1
ENSG00000113088,GZMK
ENSG00000169252,ADRB2
ENSG00000135083,CCNJL
ENSG00000134516,DOCK2
ENSG00000270504,AL391422.3
ENSG00000153157,SYCP2L
ENSG00000204428,LY6G5C
ENSG00000124713,GNMT
ENSG00000096006,CRISP3
ENSG00000146263,MMS22L
ENSG00000272476,AL024507.2
ENSG00000223537,AL109947.1
ENSG00000186439,TRDN
ENSG00000227220,AL133346.1
ENSG00000178809,TRIM73
ENSG00000153993,SEMA3D
ENSG00000188693,CYP51A1-AS1
ENSG00000091137,SLC26A4
ENSG00000273391,AC083880.1
ENSG00000169906,S100G
ENSG00000158571,PFKFB1
ENSG00000158813,EDA
ENSG00000169551,CT55
ENSG00000235802,HCFC1-AS1
ENSG00000270154,AC130352.1
ENSG00000188778,ADRB3
ENSG00000271148,AC023762.1
ENSG00000104237,RP1
ENSG00000271167,LINC01109
ENSG00000164920,OSR2
ENSG00000179698,WDR97
ENSG00000180071,ANKRD18A
ENSG00000270332,SMC2-AS1
ENSG00000165124,SVEP1
ENSG00000204055,AL158151.1
ENSG00000167157,PRRX2
ENSG00000237886,NALT1
ENSG00000254872,AC139749.1
ENSG00000149043,SYT8
ENSG00000254614,AP003068.2
ENSG00000110195,FOLR1
ENSG00000238117,AP000844.2
ENSG00000134470,IL15RA
ENSG00000273107,AL512598.1
ENSG00000099282,TSPAN15
ENSG00000230091,TMEM254-AS1
ENSG00000107593,PKD2L1
ENSG00000138152,BTBD16
ENSG00000256577,AC007406.4
ENSG00000006831,ADIPOR2
ENSG00000166535,A2ML1
ENSG00000276261,AC009509.4
ENSG00000257114,LINC02450
ENSG00000111424,VDR
ENSG00000284791,AC078864.2
ENSG00000166860,ZBTB39
ENSG00000139292,LGR5
ENSG00000274560,AC010205.1
ENSG00000247373,AC055713.1
ENSG00000120664,SPART-AS1
ENSG00000277831,AL138960.1
ENSG00000227640,SOX21-AS1
ENSG00000235875,ARHGEF7-AS2
ENSG00000261242,AL136038.3
ENSG00000274818,AC004825.2
