# ALPHA = 0.05
# NUMBER_OF_TESTS = 15

# _SET1_  VARIABLE = Layer2 (set)
# _SET1_  NGENES = 1414
# _SET1_  P-VALUE = 2.30842e-07
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000131584     1    1217756    1279989    122      14  151228       1.7428      0.01121    0.00041656       1.7424
_SET1_   ENSG00000272106     1    1539138    1586175     21       2  158147      -0.2961      0.29255    0.00041656     -0.29652
_SET1_   ENSG00000157881     1    2429972    2493039    154      21  146186      0.40621     0.056595    0.00041656      0.40579
_SET1_   ENSG00000197921     1    2450184    2496684    106      17  141845     -0.39153      0.19417    0.00041656     -0.39195
_SET1_   ENSG00000157870     1    2482930    2532908    134      12  149313      0.73411     0.029649    0.00041656       0.7337
_SET1_   ENSG00000233304     1    3965673    4025322    145      31  159909     -0.40017      0.33451    0.00041656     -0.40058
_SET1_   ENSG00000196581     1    4679792    4862594    839      97  154041     -0.22081     0.076377    0.00041656     -0.22123
_SET1_   ENSG00000236948     1    5637428    5763355    456      64  155758      0.37247     0.047093    0.00041656      0.37205
_SET1_   ENSG00000131697     1    5912871    6087533    523      26  151726      -0.1916      0.13956    0.00041656     -0.19202
_SET1_   ENSG00000215788     1    6511211    6561255    102      16  147639       1.3028     0.017731    0.00041656       1.3023
_SET1_   ENSG00000171680     1    6516152    6615121    256      24  154642        1.586     0.006185    0.00041656       1.5856
_SET1_   ENSG00000241563     1   10474776   10521959    105      13  155055     -0.48745      0.31211    0.00041656     -0.48786
_SET1_   ENSG00000132879     1   11679432   11733384    144      29  155554      -1.4341      0.72623    0.00041656      -1.4345
_SET1_   ENSG00000162490     1   11716786   11795914    229      48  157240     0.061872      0.13532    0.00041656     0.061456
_SET1_   ENSG00000116670     1   11724537   11786707    187      39  157161     -0.22469      0.22274    0.00041656     -0.22511
_SET1_   ENSG00000175206     1   11895766   11943402    195      28  150954      -1.3695      0.62983    0.00041656      -1.3699
_SET1_   ENSG00000116731     1   13991693   14161574    559      30  149187     -0.15236      0.14807    0.00041656     -0.15278
_SET1_   ENSG00000159339     1   17599690   17700499    498      37  152320      -1.5064      0.56858    0.00041656      -1.5069
_SET1_   ENSG00000162545     1   20798884   20847713     95      18  149852      0.89175     0.032349    0.00041656      0.89133
_SET1_   ENSG00000231105     1   21584783   21636267     93      19  150150      0.33953     0.093112    0.00041656      0.33911
_SET1_   ENSG00000179546     1   23506993   23556222    172      14  153844      -1.3254      0.61287    0.00041656      -1.3258
_SET1_   ENSG00000125945     1   23675941   23730935    137      19  155980      0.76339     0.068603    0.00041656      0.76297
_SET1_   ENSG00000117643     1   25908959   26122698    287      25  150311      -0.7866      0.37863    0.00041656     -0.78702
_SET1_   ENSG00000204160     1   27118201   27194093     87      10  151966      0.86366     0.048913    0.00041656      0.86325
_SET1_   ENSG00000121764     1   32048287   32108119     96       9  149696      0.05838      0.11955    0.00041656     0.057963
_SET1_   ENSG00000121753     1   32182718   32265494     74      16  151462     -0.38798      0.32845    0.00041656      -0.3884
_SET1_   ENSG00000121774     1   32444430   32536451     84      11  150261     -0.48016      0.50113    0.00041656     -0.48058
_SET1_   ENSG00000121775     1   32502632   32578467     74      13  146595    0.0068323       0.2727    0.00041656    0.0064157
_SET1_   ENSG00000160062     1   32970028   33081540    248      13  148615     -0.84372      0.45815    0.00041656     -0.84414
_SET1_   ENSG00000162521     1   33081743   33161812    190       7  156757    -0.092164      0.38659    0.00041656     -0.09258
_SET1_   ENSG00000121905     1   33316595   33374042     66      15  146526     -0.50159      0.30084    0.00041656     -0.50201
