# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
GENE             CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
ENSG00000273443    1     987588    1033668     19       3  35802      -2.1639    0.00036141      -2.1643
ENSG00000237330    1     996346    1044687     53       3  35802      -1.1918    0.00036141      -1.1922
ENSG00000131591    1    1007198    1086741    120       6  35802     -0.91641    0.00036141     -0.91677
ENSG00000223823    1    1037397    1089436     89       5  35802     -0.61243    0.00036141     -0.61279
ENSG00000272141    1    1069737    1115723     20       3  35802     -0.57057    0.00036141     -0.57094
ENSG00000162571    1    1074264    1143315     57       4  35802      -1.0994    0.00036141      -1.0998
ENSG00000186891    1    1128888    1177071     12       1  35802     -0.76601    0.00036141     -0.76637
ENSG00000176022    1    1132629    1180421      7       1  35802     -0.66358    0.00036141     -0.66394
ENSG00000186827    1    1136706    1184518      1       1  35802     0.056095    0.00036141     0.055734
ENSG00000078808    1    1142288    1202411      1       1  35802     0.056095    0.00036141     0.055734
ENSG00000184163    1    1167826    1217102      2       1  35802     -0.25781    0.00036141     -0.25817
ENSG00000260179    1    1175157    1221714      3       1  35802     -0.34424    0.00036141      -0.3446
ENSG00000230415    1    1175603    1225800      3       1  35802     -0.34424    0.00036141      -0.3446
ENSG00000160087    1    1179289    1244265     12       1  35802      -1.3089    0.00036141      -1.3092
ENSG00000162572    1    1180816    1237409      8       1  35802      -1.1682    0.00036141      -1.1685
ENSG00000169972    1    1208947    1257057     16       2  35802      -1.1795    0.00036141      -1.1799
ENSG00000131584    1    1217756    1279989     34       2  35802     -0.62355    0.00036141     -0.62391
ENSG00000224051    1    1225136    1274277     29       2  35802     -0.71675    0.00036141     -0.71711
ENSG00000169962    1    1231694    1280686     35       2  35802     -0.51188    0.00036141     -0.51224
ENSG00000127054    1    1236965    1295071     47       2  35802     -0.30603    0.00036141     -0.30639
ENSG00000107404    1    1260656    1319730     64       3  35802     -0.16419    0.00036141     -0.16455
ENSG00000162576    1    1278069    1332157     50       2  35802     -0.15194    0.00036141      -0.1523
ENSG00000175756    1    1299110    1345875     35       2  35802      -0.2668    0.00036141     -0.26716
ENSG00000272455    1    1309476    1355998     55       2  35802     -0.30149    0.00036141     -0.30185
ENSG00000221978    1    1311091    1369708     54       2  35802     -0.29737    0.00036141     -0.29773
ENSG00000205116    1    1326508    1373167     35       1  35802     -0.33245    0.00036141     -0.33281
ENSG00000242485    1    1327288    1377693     35       1  35802     -0.33245    0.00036141     -0.33281
ENSG00000179403    1    1335241    1388262     34       1  35802     -0.33502    0.00036141     -0.33538
