# ALPHA = 0.05
# NUMBER_OF_TESTS = 15

# _SET1_  VARIABLE = Layer2 (set)
# _SET1_  NGENES = 1444
# _SET1_  P-VALUE = 4.57715e-05
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000131584     1    1217756    1279989     34       2  35802     -0.62355      0.49871    0.00036141     -0.62391
_SET1_   ENSG00000157881     1    2429972    2493039    141      19  35802      0.48825     0.086329    0.00036141      0.48789
_SET1_   ENSG00000197921     1    2450184    2496684     96      15  35802     0.016668      0.19636    0.00036141     0.016307
_SET1_   ENSG00000157870     1    2482930    2532908    140      10  35802       1.5954    0.0062572    0.00036141        1.595
_SET1_   ENSG00000233304     1    3965673    4025322    122      22  35802       -1.632      0.78018    0.00036141      -1.6324
_SET1_   ENSG00000196581     1    4679792    4862594    851      93  35802    -0.041659     0.075629    0.00036141     -0.04202
_SET1_   ENSG00000236948     1    5637428    5763355    465      61  35802       1.1402    0.0095161    0.00036141       1.1398
_SET1_   ENSG00000131697     1    5912871    6087533    513      24  35802       -1.581      0.68373    0.00036141      -1.5814
_SET1_   ENSG00000215788     1    6511211    6561255     89      13  35802       2.2101    0.0018652    0.00036141       2.2097
_SET1_   ENSG00000171680     1    6516152    6615121    254      21  35802       2.2142    0.0009225    0.00036141       2.2138
_SET1_   ENSG00000241563     1   10474776   10521959    111      12  35802      -1.2303      0.63865    0.00036141      -1.2306
_SET1_   ENSG00000132879     1   11679432   11733384    133      24  35802      -1.0156      0.57041    0.00036141       -1.016
_SET1_   ENSG00000162490     1   11716786   11795914    222      43  35802      -1.2774      0.60819    0.00036141      -1.2777
_SET1_   ENSG00000116670     1   11724537   11786707    183      35  35802      -1.0446       0.5345    0.00036141      -1.0449
_SET1_   ENSG00000175206     1   11895766   11943402    197      27  35802      0.86941     0.038727    0.00036141      0.86905
_SET1_   ENSG00000116731     1   13991693   14161574    559      29  35802     -0.24324      0.20906    0.00036141     -0.24361
_SET1_   ENSG00000159339     1   17599690   17700499    537      35  35802     -0.84236      0.37166    0.00036141     -0.84272
_SET1_   ENSG00000162545     1   20798884   20847713     94      17  35802       0.8445     0.050915    0.00036141      0.84414
_SET1_   ENSG00000231105     1   21584783   21636267     91      18  35802      0.92501     0.041787    0.00036141      0.92465
_SET1_   ENSG00000179546     1   23506993   23556222    177      13  35802      -1.0095      0.53951    0.00036141      -1.0098
_SET1_   ENSG00000125945     1   23675941   23730935    131      16  35802      -1.7186      0.82678    0.00036141       -1.719
_SET1_   ENSG00000117643     1   25908959   26122698    256      20  35802     -0.40675       0.3041    0.00036141     -0.40711
_SET1_   ENSG00000204160     1   27118201   27194093     85       9  35802       1.8548    0.0047977    0.00036141       1.8544
_SET1_   ENSG00000121764     1   32048287   32108119     97       8  35802      -0.4716      0.34692    0.00036141     -0.47196
_SET1_   ENSG00000121753     1   32182718   32265494     73      15  35802       -1.707      0.83437    0.00036141      -1.7074
_SET1_   ENSG00000121774     1   32444430   32536451     77       8  35802      -1.2833      0.76087    0.00036141      -1.2836
_SET1_   ENSG00000121775     1   32502632   32578467     70      10  35802       0.2857      0.19475    0.00036141      0.28533
_SET1_   ENSG00000160062     1   32970028   33081540    250      11  35802     -0.70129      0.44786    0.00036141     -0.70165
_SET1_   ENSG00000162521     1   33081743   33161812    189       6  35802      -1.5786      0.82119    0.00036141       -1.579
_SET1_   ENSG00000121905     1   33316595   33374042     65      13  35802      0.47774      0.10697    0.00036141      0.47738
_SET1_   ENSG00000188910     1   35211790   35261970    174      30  35802     -0.61884      0.37971    0.00036141      -0.6192
_SET1_   ENSG00000116544     1   35321037   35430186    139      32  35802       1.0726      0.02595    0.00036141       1.0723
_SET1_   ENSG00000020129     1   35988074   36042875     42       5  35802        1.925     0.006541    0.00036141       1.9247
_SET1_   ENSG00000054118     1   36655017   36780958    131      12  35802     -0.97316      0.57389    0.00036141     -0.97353
_SET1_   ENSG00000163877     1   37990050   38054903    148      18  35802     -0.37785      0.32026    0.00036141     -0.37821
_SET1_   ENSG00000183520     1   38439930   38500496    112      26  35802      0.36264      0.11063    0.00036141      0.36228
